County,Deaths,Date,State,Abbr,FIPS,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,TOTAL_POP,TOTAL_POP_100K
District of Columbia,105,2020-04-19,District of Columbia,DC,11001,050,11,001,District of Columbia,District of Columbia,705749,705749,7.05749
Calvert,3,2020-04-19,Maryland,MD,24009,050,24,009,Maryland,Calvert County,92525,92525,0.92525
Frederick,30,2020-04-19,Maryland,MD,24021,050,24,021,Maryland,Frederick County,259547,259547,2.59547
Montgomery,106,2020-04-19,Maryland,MD,24031,050,24,031,Maryland,Montgomery County,1050688,1050688,10.50688
Prince Georges,112,2020-04-19,Maryland,MD,24033,050,24,033,Maryland,Prince George's County,909327,909327,9.09327
Alexandria City,8,2020-04-19,Virginia,VA,51510,050,51,510,Virginia,Alexandria city,159428,159428,1.59428
Arlington,22,2020-04-19,Virginia,VA,51013,050,51,013,Virginia,Arlington County,236842,236842,2.36842
Fairfax,59,2020-04-19,Virginia,VA,51059,050,51,059,Virginia,Fairfax County,1147532,1147532,11.47532
Loudoun,8,2020-04-19,Virginia,VA,51107,050,51,107,Virginia,Loudoun County,413538,413538,4.13538
Prince William,17,2020-04-19,Virginia,VA,51153,050,51,153,Virginia,Prince William County,470335,470335,4.70335
District of Columbia,96,2020-04-18,District of Columbia,DC,11001,050,11,001,District of Columbia,District of Columbia,705749,705749,7.05749
Calvert,3,2020-04-18,Maryland,MD,24009,050,24,009,Maryland,Calvert County,92525,92525,0.92525
Frederick,30,2020-04-18,Maryland,MD,24021,050,24,021,Maryland,Frederick County,259547,259547,2.5954699999999997
Montgomery,96,2020-04-18,Maryland,MD,24031,050,24,031,Maryland,Montgomery County,1050688,1050688,10.50688
Prince Georges,105,2020-04-18,Maryland,MD,24033,050,24,033,Maryland,Prince George's County,909327,909327,9.093269999999999
Alexandria City,7,2020-04-18,Virginia,VA,51510,050,51,510,Virginia,Alexandria city,159428,159428,1.5942800000000001
Arlington,20,2020-04-18,Virginia,VA,51013,050,51,013,Virginia,Arlington County,236842,236842,2.36842
Fairfax,48,2020-04-18,Virginia,VA,51059,050,51,059,Virginia,Fairfax County,1147532,1147532,11.47532
Loudoun,7,2020-04-18,Virginia,VA,51107,050,51,107,Virginia,Loudoun County,413538,413538,4.13538
Prince William,16,2020-04-18,Virginia,VA,51153,050,51,153,Virginia,Prince William County,470335,470335,4.70335
District of Columbia,91,2020-04-17,District of Columbia,DC,11001,050,11,001,District of Columbia,District of Columbia,705749,705749,7.05749
Calvert,2,2020-04-17,Maryland,MD,24009,050,24,009,Maryland,Calvert County,92525,92525,0.92525
Frederick,31,2020-04-17,Maryland,MD,24021,050,24,021,Maryland,Frederick County,259547,259547,2.5954699999999993
Montgomery,86,2020-04-17,Maryland,MD,24031,050,24,031,Maryland,Montgomery County,1050688,1050688,10.50688
Prince Georges,95,2020-04-17,Maryland,MD,24033,050,24,033,Maryland,Prince George's County,909327,909327,9.09327
Alexandria City,7,2020-04-17,Virginia,VA,51510,050,51,510,Virginia,Alexandria city,159428,159428,1.5942800000000001
Arlington,17,2020-04-17,Virginia,VA,51013,050,51,013,Virginia,Arlington County,236842,236842,2.36842
Fairfax,43,2020-04-17,Virginia,VA,51059,050,51,059,Virginia,Fairfax County,1147532,1147532,11.47532
Loudoun,7,2020-04-17,Virginia,VA,51107,050,51,107,Virginia,Loudoun County,413538,413538,4.13538
