County,Cases,Hospitalizations,Deaths,Date,State,Abbr,FIPS,Recovered,Tests
Arlington,2280,394,121,2020-06-09,Virginia,VA,51013,NA,NA
Clarke,35,3,0,2020-06-09,Virginia,VA,51043,NA,NA
Culpeper,773,56,9,2020-06-09,Virginia,VA,51047,NA,NA
Fairfax,12746,1451,422,2020-06-09,Virginia,VA,51059,NA,NA
Fauquier,370,25,6,2020-06-09,Virginia,VA,51061,NA,NA
Loudoun,3180,196,67,2020-06-09,Virginia,VA,51107,NA,NA
Prince William,6376,564,118,2020-06-09,Virginia,VA,51153,NA,NA
Rappahannock,16,1,0,2020-06-09,Virginia,VA,51157,NA,NA
Spotsylvania,723,51,10,2020-06-09,Virginia,VA,51177,NA,NA
Stafford,831,84,5,2020-06-09,Virginia,VA,51179,NA,NA
Warren,225,14,4,2020-06-09,Virginia,VA,51187,NA,NA
Alexandria City,2125,216,47,2020-06-09,Virginia,VA,51510,NA,NA
Fairfax City,69,7,6,2020-06-09,Virginia,VA,51600,NA,NA
Falls Church,56,11,8,2020-06-09,Virginia,VA,51610,NA,NA
Fredericksburg,194,23,0,2020-06-09,Virginia,VA,51630,NA,NA
Manassas,1262,79,12,2020-06-09,Virginia,VA,51683,NA,NA
Manassas Park,360,40,6,2020-06-09,Virginia,VA,51685,NA,NA
Calvert,363,NA,21,2020-06-09,Maryland,MD,24009,NA,NA
Charles,1231,NA,83,2020-06-09,Maryland,MD,24017,NA,NA
Frederick,2178,NA,112,2020-06-09,Maryland,MD,24021,NA,NA
Montgomery,13124,NA,672,2020-06-09,Maryland,MD,24031,NA,NA
Prince Georges,16753,NA,613,2020-06-09,Maryland,MD,24033,NA,NA
Jefferson,209,NA,4,2020-06-09,West Virginia,WV,54037,144,4070
District of Columbia,9537,NA,499,2020-06-09,District of Columbia,DC,11001,NA,NA
Arlington,2265,395,122,2020-06-08,Virginia,VA,51013,NA,NA
Clarke,35,3,0,2020-06-08,Virginia,VA,51043,NA,NA
Culpeper,772,56,8,2020-06-08,Virginia,VA,51047,NA,NA
Fairfax,12695,1437,416,2020-06-08,Virginia,VA,51059,NA,NA
Fauquier,365,25,6,2020-06-08,Virginia,VA,51061,NA,NA
Loudoun,3174,185,67,2020-06-08,Virginia,VA,51107,NA,NA
Prince William,6336,554,119,2020-06-08,Virginia,VA,51153,NA,NA
Rappahannock,16,1,0,2020-06-08,Virginia,VA,51157,NA,NA
Spotsylvania,712,50,9,2020-06-08,Virginia,VA,51177,NA,NA
Stafford,824,84,5,2020-06-08,Virginia,VA,51179,NA,NA
Warren,222,14,4,2020-06-08,Virginia,VA,51187,NA,NA
Alexandria City,2115,212,47,2020-06-08,Virginia,VA,51510,NA,NA
Fairfax City,69,7,5,2020-06-08,Virginia,VA,51600,NA,NA
Falls Church,56,11,8,2020-06-08,Virginia,VA,51610,NA,NA
Fredericksburg,193,23,0,2020-06-08,Virginia,VA,51630,NA,NA
Manassas,1254,78,11,2020-06-08,Virginia,VA,51683,NA,NA
Manassas Park,359,37,6,2020-06-08,Virginia,VA,51685,NA,NA
Calvert,363,NA,21,2020-06-08,Maryland,MD,24009,NA,NA
Charles,1216,NA,82,2020-06-08,Maryland,MD,24017,NA,NA
Frederick,2152,NA,111,2020-06-08,Maryland,MD,24021,NA,NA
Montgomery,12968,NA,667,2020-06-08,Maryland,MD,24031,NA,NA
Prince Georges,16636,NA,607,2020-06-08,Maryland,MD,24033,NA,NA
Jefferson,209,NA,4,2020-06-08,West Virginia,WV,54037,144,4044
District of Columbia,9474,NA,495,2020-06-08,District of Columbia,DC,11001,NA,NA
Arlington,2256,392,122,2020-06-07,Virginia,VA,51013,NA,NA
Clarke,35,3,0,2020-06-07,Virginia,VA,51043,NA,NA
Culpeper,767,56,8,2020-06-07,Virginia,VA,51047,NA,NA
Fairfax,12603,1431,414,2020-06-07,Virginia,VA,51059,NA,NA
Fauquier,363,25,6,2020-06-07,Virginia,VA,51061,NA,NA
Loudoun,3147,181,67,2020-06-07,Virginia,VA,51107,NA,NA
Prince William,6278,544,118,2020-06-07,Virginia,VA,51153,NA,NA
Rappahannock,15,1,0,2020-06-07,Virginia,VA,51157,NA,NA
Spotsylvania,707,47,7,2020-06-07,Virginia,VA,51177,NA,NA
Stafford,815,84,5,2020-06-07,Virginia,VA,51179,NA,NA
Warren,220,14,4,2020-06-07,Virginia,VA,51187,NA,NA
Alexandria City,2102,208,45,2020-06-07,Virginia,VA,51510,NA,NA
Fairfax City,69,7,5,2020-06-07,Virginia,VA,51600,NA,NA
Falls Church,56,11,8,2020-06-07,Virginia,VA,51610,NA,NA
Fredericksburg,196,22,0,2020-06-07,Virginia,VA,51630,NA,NA
Manassas,1248,77,11,2020-06-07,Virginia,VA,51683,NA,NA
Manassas Park,359,37,6,2020-06-07,Virginia,VA,51685,NA,NA
Calvert,362,NA,21,2020-06-07,Maryland,MD,24009,NA,NA
Charles,1211,NA,80,2020-06-07,Maryland,MD,24017,NA,NA
Frederick,2135,NA,111,2020-06-07,Maryland,MD,24021,NA,NA
Montgomery,12818,NA,659,2020-06-07,Maryland,MD,24031,NA,NA
Prince Georges,16523,NA,602,2020-06-07,Maryland,MD,24033,NA,NA
Jefferson,209,NA,4,2020-06-07,West Virginia,WV,54037,144,4029
District of Columbia,9389,NA,491,2020-06-07,District of Columbia,DC,11001,NA,NA
Arlington,2225,392,121,2020-06-06,Virginia,VA,51013,NA,NA
Clarke,33,3,0,2020-06-06,Virginia,VA,51043,NA,NA
Culpeper,764,55,8,2020-06-06,Virginia,VA,51047,NA,NA
Fairfax,12455,1423,414,2020-06-06,Virginia,VA,51059,NA,NA
Fauquier,355,25,6,2020-06-06,Virginia,VA,51061,NA,NA
Loudoun,3094,179,67,2020-06-06,Virginia,VA,51107,NA,NA
Prince William,6207,532,118,2020-06-06,Virginia,VA,51153,NA,NA
Rappahannock,17,1,0,2020-06-06,Virginia,VA,51157,NA,NA
Spotsylvania,695,47,7,2020-06-06,Virginia,VA,51177,NA,NA
Stafford,803,83,5,2020-06-06,Virginia,VA,51179,NA,NA
Warren,222,15,4,2020-06-06,Virginia,VA,51187,NA,NA
Alexandria City,2095,208,45,2020-06-06,Virginia,VA,51510,NA,NA
Fairfax City,69,7,5,2020-06-06,Virginia,VA,51600,NA,NA
Falls Church,56,11,8,2020-06-06,Virginia,VA,51610,NA,NA
Fredericksburg,208,22,0,2020-06-06,Virginia,VA,51630,NA,NA
Manassas,1228,78,11,2020-06-06,Virginia,VA,51683,NA,NA
Manassas Park,355,37,6,2020-06-06,Virginia,VA,51685,NA,NA
Calvert,358,NA,21,2020-06-06,Maryland,MD,24009,NA,NA
Charles,1202,NA,80,2020-06-06,Maryland,MD,24017,NA,NA
Frederick,2114,NA,111,2020-06-06,Maryland,MD,24021,NA,NA
Montgomery,12734,NA,656,2020-06-06,Maryland,MD,24031,NA,NA
Prince Georges,16434,NA,598,2020-06-06,Maryland,MD,24033,NA,NA
Jefferson,209,NA,4,2020-06-06,West Virginia,WV,54037,140,3989
District of Columbia,9332,NA,489,2020-06-06,District of Columbia,DC,11001,NA,NA
Arlington,2195,389,120,2020-06-05,Virginia,VA,51013,NA,NA
Clarke,31,3,0,2020-06-05,Virginia,VA,51043,NA,NA
Culpeper,745,55,8,2020-06-05,Virginia,VA,51047,NA,NA
