County,Cases,Hospitalizations,Deaths,Date,State,Abbr,FIPS,Recovered,Tests
Accomack,917,49,12,2020-05-31,Virginia,VA,51001,NA,NA
Albemarle,199,19,8,2020-05-31,Virginia,VA,51003,NA,NA
Alleghany,23,4,2,2020-05-31,Virginia,VA,51005,NA,NA
Amelia,25,8,1,2020-05-31,Virginia,VA,51007,NA,NA
Amherst,27,3,0,2020-05-31,Virginia,VA,51009,NA,NA
Appomattox,31,1,0,2020-05-31,Virginia,VA,51011,NA,NA
Arlington,2123,376,116,2020-05-31,Virginia,VA,51013,NA,NA
Augusta,112,2,1,2020-05-31,Virginia,VA,51015,NA,NA
Bath,0,0,0,2020-05-31,Virginia,VA,51017,NA,NA
Bedford,60,2,2,2020-05-31,Virginia,VA,51019,NA,NA
Bland,0,0,0,2020-05-31,Virginia,VA,51021,NA,NA
Botetourt,32,9,4,2020-05-31,Virginia,VA,51023,NA,NA
Brunswick,27,6,1,2020-05-31,Virginia,VA,51025,NA,NA
Buchanan,18,0,0,2020-05-31,Virginia,VA,51027,NA,NA
Buckingham,461,16,3,2020-05-31,Virginia,VA,51029,NA,NA
Campbell,18,4,1,2020-05-31,Virginia,VA,51031,NA,NA
Caroline,69,6,2,2020-05-31,Virginia,VA,51033,NA,NA
Carroll,97,3,1,2020-05-31,Virginia,VA,51035,NA,NA
Charles City,27,10,1,2020-05-31,Virginia,VA,51036,NA,NA
Charlotte,24,4,0,2020-05-31,Virginia,VA,51037,NA,NA
Chesterfield,1568,78,35,2020-05-31,Virginia,VA,51041,NA,NA
Clarke,28,3,0,2020-05-31,Virginia,VA,51043,NA,NA
Craig,5,0,0,2020-05-31,Virginia,VA,51045,NA,NA
Culpeper,713,48,6,2020-05-31,Virginia,VA,51047,NA,NA
Cumberland,38,4,0,2020-05-31,Virginia,VA,51049,NA,NA
Dickenson,0,0,0,2020-05-31,Virginia,VA,51051,NA,NA
Dinwiddie,83,12,0,2020-05-31,Virginia,VA,51053,NA,NA
Essex,48,4,0,2020-05-31,Virginia,VA,51057,NA,NA
Fairfax,11219,1329,387,2020-05-31,Virginia,VA,51059,NA,NA
Fauquier,323,21,6,2020-05-31,Virginia,VA,51061,NA,NA
Floyd,6,2,0,2020-05-31,Virginia,VA,51063,NA,NA
Fluvanna,92,23,6,2020-05-31,Virginia,VA,51065,NA,NA
Franklin,36,4,1,2020-05-31,Virginia,VA,51067,NA,NA
