Age_Range,Cases,Deaths,Date,State
0-9,294,0,2020-04-29,Maryland
10-19,573,0,2020-04-29,Maryland
20-29,2525,8,2020-04-29,Maryland
30-39,3684,15,2020-04-29,Maryland
40-49,3871,28,2020-04-29,Maryland
50-59,3939,75,2020-04-29,Maryland
60-69,3010,172,2020-04-29,Maryland
70-79,2083,266,2020-04-29,Maryland
80+,1763,493,2020-04-29,Maryland
Age Data Not Available,0,83,2020-04-29,Maryland
0-9,256,0,2020-04-28,Maryland
10-19,539,0,2020-04-28,Maryland
20-29,2393,7,2020-04-28,Maryland
30-39,3511,15,2020-04-28,Maryland
40-49,3696,26,2020-04-28,Maryland
50-59,3792,72,2020-04-28,Maryland
60-69,2927,163,2020-04-28,Maryland
70-79,2035,246,2020-04-28,Maryland
80+,1700,462,2020-04-28,Maryland
Age Data Not Available,0,87,2020-04-28,Maryland
0-9,246,0,2020-04-27,Maryland
10-19,512,0,2020-04-27,Maryland
20-29,2293,6,2020-04-27,Maryland
30-39,3367,14,2020-04-27,Maryland
40-49,3555,21,2020-04-27,Maryland
50-59,3675,68,2020-04-27,Maryland
60-69,2835,149,2020-04-27,Maryland
70-79,1973,231,2020-04-27,Maryland
80+,1657,420,2020-04-27,Maryland
Age Data Not Available,0,107,2020-04-27,Maryland
0-9,228,0,2020-04-26,Maryland
10-19,490,0,2020-04-26,Maryland
20-29,2217,5,2020-04-26,Maryland
30-39,3264,14,2020-04-26,Maryland
40-49,3436,20,2020-04-26,Maryland
50-59,3556,65,2020-04-26,Maryland
60-69,2758,145,2020-04-26,Maryland
70-79,1916,222,2020-04-26,Maryland
80+,1622,386,2020-04-26,Maryland
Age Data Not Available,0,88,2020-04-26,Maryland
0-9,212,0,2020-04-25,Maryland
10-19,463,0,2020-04-25,Maryland
20-29,2097,4,2020-04-25,Maryland
30-39,3109,13,2020-04-25,Maryland
40-49,3270,20,2020-04-25,Maryland
50-59,3414,59,2020-04-25,Maryland
60-69,2651,126,2020-04-25,Maryland
70-79,1837,197,2020-04-25,Maryland
80+,1528,346,2020-04-25,Maryland
Age Data Not Available,0,145,2020-04-25,Maryland
0-9,189,0,2020-04-24,Maryland
10-19,441,0,2020-04-24,Maryland
20-29,1982,4,2020-04-24,Maryland
30-39,2963,13,2020-04-24,Maryland
40-49,3155,20,2020-04-24,Maryland
50-59,3288,59,2020-04-24,Maryland
60-69,2548,122,2020-04-24,Maryland
70-79,1766,195,2020-04-24,Maryland
80+,1434,338,2020-04-24,Maryland
Age Data Not Available,0,124,2020-04-24,Maryland
0-9,164,0,2020-04-23,Maryland
10-19,395,0,2020-04-23,Maryland
20-29,1833,3,2020-04-23,Maryland
30-39,2757,14,2020-04-23,Maryland
40-49,2931,19,2020-04-23,Maryland
50-59,3094,51,2020-04-23,Maryland
60-69,2383,110,2020-04-23,Maryland
70-79,1680,185,2020-04-23,Maryland
80+,1379,306,2020-04-23,Maryland
Age Data Not Available,0,110,2020-04-23,Maryland
0-9,152,0,2020-04-22,Maryland
10-19,369,0,2020-04-22,Maryland
20-29,1708,3,2020-04-22,Maryland
30-39,2604,13,2020-04-22,Maryland
40-49,2786,17,2020-04-22,Maryland
50-59,2960,48,2020-04-22,Maryland
60-69,2269,101,2020-04-22,Maryland
70-79,1593,177,2020-04-22,Maryland
80+,1296,284,2020-04-22,Maryland
Age Data Not Available,0,105,2020-04-22,Maryland
0-9,132,0,2020-04-21,Maryland
10-19,337,0,2020-04-21,Maryland
20-29,1595,2,2020-04-21,Maryland
30-39,2415,13,2020-04-21,Maryland
40-49,2611,13,2020-04-21,Maryland
50-59,2805,44,2020-04-21,Maryland
60-69,2156,98,2020-04-21,Maryland
70-79,1512,160,2020-04-21,Maryland
80+,1212,262,2020-04-21,Maryland
Age Data Not Available,0,106,2020-04-21,Maryland
0-9,118,0,2020-04-20,Maryland
10-19,318,0,2020-04-20,Maryland
20-29,1543,2,2020-04-20,Maryland
30-39,2329,11,2020-04-20,Maryland
40-49,2539,13,2020-04-20,Maryland
50-59,2712,39,2020-04-20,Maryland
60-69,2083,94,2020-04-20,Maryland
70-79,1432,144,2020-04-20,Maryland
80+,1119,232,2020-04-20,Maryland
Age Data Not Available,0,117,2020-04-20,Maryland
0-9,108,0,2020-04-19,Maryland
10-19,300,0,2020-04-19,Maryland
20-29,1488,2,2020-04-19,Maryland
30-39,2245,12,2020-04-19,Maryland
40-49,2442,11,2020-04-19,Maryland
50-59,2632,38,2020-04-19,Maryland
60-69,2015,91,2020-04-19,Maryland
70-79,1385,125,2020-04-19,Maryland
80+,1069,214,2020-04-19,Maryland
Age Data Not Available,0,89,2020-04-19,Maryland
0-9,93,0,2020-04-18,Maryland
10-19,277,0,2020-04-18,Maryland
20-29,1391,2,2020-04-18,Maryland
30-39,2100,12,2020-04-18,Maryland
40-49,2312,10,2020-04-18,Maryland
50-59,2492,35,2020-04-18,Maryland
60-69,1898,88,2020-04-18,Maryland
70-79,1286,119,2020-04-18,Maryland
80+,981,196,2020-04-18,Maryland
Age Data Not Available,0,86,2020-04-18,Maryland
0-9,89,0,2020-04-17,Maryland
10-19,254,0,2020-04-17,Maryland
20-29,1311,2,2020-04-17,Maryland
30-39,2010,8,2020-04-17,Maryland
40-49,2215,9,2020-04-17,Maryland
50-59,2399,28,2020-04-17,Maryland
60-69,1831,84,2020-04-17,Maryland
70-79,1253,104,2020-04-17,Maryland
80+,946,186,2020-04-17,Maryland
Age Data Not Available,0,113,2020-04-17,Maryland
0-9,86,0,2020-04-16,Maryland
10-19,242,0,2020-04-16,Maryland
20-29,1227,2,2020-04-16,Maryland
30-39,1882,8,2020-04-16,Maryland
40-49,2088,7,2020-04-16,Maryland
50-59,2287,27,2020-04-16,Maryland
60-69,1710,77,2020-04-16,Maryland
70-79,1171,100,2020-04-16,Maryland
80+,879,174,2020-04-16,Maryland
Data Not Available,0,99,2020-04-16,Maryland
0-9,86,0,2020-04-15,Maryland
10-19,231,0,2020-04-15,Maryland
20-29,1162,2,2020-04-15,Maryland
30-39,1784,6,2020-04-15,Maryland
40-49,1951,6,2020-04-15,Maryland
50-59,2138,26,2020-04-15,Maryland
60-69,1602,70,2020-04-15,Maryland
70-79,1065,89,2020-04-15,Maryland
80+,765,153,2020-04-15,Maryland
Data Not Available,0,107,2020-04-15,Maryland
0-9,74,0,2020-04-14,Maryland
10-19,204,0,2020-04-14,Maryland
20-29,1089,1,2020-04-14,Maryland
30-39,1670,5,2020-04-14,Maryland
40-49,1808,5,2020-04-14,Maryland
50-59,2005,21,2020-04-14,Maryland
60-69,1474,62,2020-04-14,Maryland
70-79,1010,83,2020-04-14,Maryland
80+,698,133,2020-04-14,Maryland
Data Not Available,0,103,2020-04-14,Maryland
0-9,70,0,2020-04-13,Maryland
10-19,199,0,2020-04-13,Maryland
20-29,1030,1,2020-04-13,Maryland
30-39,1603,11,2020-04-13,Maryland
40-49,1740,6,2020-04-13,Maryland
50-59,1902,29,2020-04-13,Maryland
60-69,1389,69,2020-04-13,Maryland
70-79,935,83,2020-04-13,Maryland
80+,604,103,2020-04-13,Maryland
0-9,63,0,2020-04-12,Maryland
10-19,190,0,2020-04-12,Maryland
20-29,970,1,2020-04-12,Maryland
30-39,1511,9,2020-04-12,Maryland
40-49,1637,5,2020-04-12,Maryland
50-59,1801,26,2020-04-12,Maryland
60-69,1317,58,2020-04-12,Maryland
70-79,877,73,2020-04-12,Maryland
80+,570,90,2020-04-12,Maryland
0-9,52,0,2020-04-11,Maryland
10-19,172,0,2020-04-11,Maryland
20-29,906,1,2020-04-11,Maryland
30-39,1390,9,2020-04-11,Maryland
40-49,1504,5,2020-04-11,Maryland
50-59,1675,25,2020-04-11,Maryland
60-69,1212,51,2020-04-11,Maryland
70-79,816,65,2020-04-11,Maryland
80+,498,79,2020-04-11,Maryland
0-9,45,0,2020-04-10,Maryland
10-19,162,0,2020-04-10,Maryland
20-29,855,1,2020-04-10,Maryland
30-39,1317,8,2020-04-10,Maryland
40-49,1413,5,2020-04-10,Maryland
50-59,1565,22,2020-04-10,Maryland
60-69,1141,42,2020-04-10,Maryland
70-79,757,57,2020-04-10,Maryland
80+,439,71,2020-04-10,Maryland
0-9,36,0,2020-04-09,Maryland
