Tests,Deaths,Hospitalizations,Date,State
643391,3319,11420,2020-07-11,Maryland
629277,3310,11353,2020-07-10,Maryland
621063,3303,11300,2020-07-09,Maryland
612581,3288,11221,2020-07-08,Maryland
603108,3275,11184,2020-07-07,Maryland
594378,3266,11111,2020-07-06,Maryland
587361,3246,11096,2020-07-05,Maryland
579962,3243,11071,2020-07-04,Maryland
573342,3236,11034,2020-07-03,Maryland
553175,3212,10939,2020-07-01,Maryland
542604,3205,10902,2020-06-30,Maryland
535855,3190,10844,2020-06-29,Maryland
529313,3175,10822,2020-06-28,Maryland
519473,3168,10793,2020-06-27,Maryland
513816,3157,10751,2020-06-26,Maryland
506397,3142,10725,2020-06-25,Maryland
498959,3129,10683,2020-06-24,Maryland
490457,3108,10648,2020-06-23,Maryland
483535,3092,10611,2020-06-22,Maryland
474725,3074,10572,2020-06-21,Maryland
462280,3052,10497,2020-06-19,Maryland
453669,3030,10447,2020-06-18,Maryland
447608,3016,10357,2020-06-17,Maryland
441343,2996,10309,2020-06-16,Maryland
429225,2982,10262,2020-06-15,Maryland
421108,2947,10222,2020-06-14,Maryland
415309,2939,10165,2020-06-13,Maryland
408758,2926,10053,2020-06-12,Maryland
392370,2875,9789,2020-06-10,Maryland
384642,2844,9755,2020-06-09,Maryland
378082,2811,9676,2020-06-08,Maryland
371503,2776,9629,2020-06-07,Maryland
364803,2749,9546,2020-06-06,Maryland
357376,2740,9451,2020-06-05,Maryland
347726,2702,9346,2020-06-04,Maryland
337018,2668,9217,2020-06-03,Maryland
327625,2641,9111,2020-06-02,Maryland
315815,2597,8957,2020-06-01,Maryland
308730,2552,8886,2020-05-31,Maryland
301881,2532,8738,2020-05-30,Maryland
293946,2509,8619,2020-05-29,Maryland
284518,2466,8479,2020-05-28,Maryland
274858,2428,8392,2020-05-27,Maryland
262055,2392,8281,2020-05-26,Maryland
254487,2333,8179,2020-05-25,Maryland
249577,2302,8092,2020-05-24,Maryland
240362,2277,7939,2020-05-23,Maryland
232327,2243,7825,2020-05-22,Maryland
227902,2207,7634,2020-05-21,Maryland
220233,2159,7485,2020-05-20,Maryland
215330,2123,7393,2020-05-19,Maryland
208658,2081,7199,2020-05-18,Maryland
201506,2023,7086,2020-05-17,Maryland
194926,1992,6993,2020-05-16,Maryland
190175,1957,6755,2020-05-15,Maryland
182826,1911,6679,2020-05-14,Maryland
178454,1866,6553,2020-05-13,Maryland
173574,1809,6404,2020-05-12,Maryland
169503,1756,6287,2020-05-11,Maryland
164780,1683,6183,2020-05-10,Maryland
159931,1644,5955,2020-05-09,Maryland
156028,1614,5932,2020-05-08,Maryland
152187,1560,5811,2020-05-07,Maryland
148600,1503,5663,2020-05-06,Maryland
144012,1437,5497,2020-05-05,Maryland
140103,1390,5337,2020-05-04,Maryland
136995,1317,5199,2020-05-03,Maryland
132794,1281,5051,2020-05-02,Maryland
125522,1251,4910,2020-05-01,Maryland
120983,1192,4718,2020-04-30,Maryland
114359,1140,4559,2020-04-29,Maryland
110929,1078,4402,2020-04-28,Maryland
107785,1016,4268,2020-04-27,Maryland
104976,945,4101,2020-04-26,Maryland
96665,910,3962,2020-04-25,Maryland
89123,875,3760,2020-04-24,Maryland
84716,798,3618,2020-04-23,Maryland
80100,748,3477,2020-04-22,Maryland
76529,698,3325,2020-04-21,Maryland
73635,652,3158,2020-04-20,Maryland
71397,516,3014,2020-04-19,Maryland
67891,486,2886,2020-04-18,Maryland
65370,463,2757,2020-04-17,Maryland
62009,425,2612,2020-04-16,Maryland
58843,392,2451,2020-04-15,Maryland
55763,349,2231,2020-04-14,Maryland
53733,302,2122,2020-04-13,Maryland
51751,262,1975,2020-04-12,Maryland
49764,235,1860,2020-04-11,Maryland
47238,206,1709,2020-04-10,Maryland
44448,171,1413,2020-04-09,Maryland
41529,138,1348,2020-04-08,Maryland
38462,124,1210,2020-04-07,Maryland
31627,103,1106,2020-04-06,Maryland
29617,91,1059,2020-04-05,Maryland
28337,67,936,2020-04-04,Maryland
25610,53,821,2020-04-03,Maryland
23690,42,664,2020-04-02,Maryland
21221,36,582,2020-04-01,Maryland
19218,31,522,2020-03-31,Maryland
16528,18,429,2020-03-30,Maryland
14729,15,353,2020-03-29,Maryland
13593,10,277,2020-03-28,Maryland
12508,5,226,2020-03-27,Maryland
NA,5,NA,2020-03-26,Maryland
NA,4,NA,2020-03-25,Maryland
NA,4,NA,2020-03-24,Maryland
NA,3,NA,2020-03-23,Maryland
NA,3,NA,2020-03-22,Maryland
