Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
7/17/2020,51001,Accomack,Eastern Shore,1048,73,14
7/17/2020,51003,Albemarle,Thomas Jefferson,593,42,10
7/17/2020,51005,Alleghany,Alleghany,54,5,2
7/17/2020,51007,Amelia,Piedmont,59,13,1
7/17/2020,51009,Amherst,Central Virginia,45,3,0
7/17/2020,51011,Appomattox,Central Virginia,48,2,0
7/17/2020,51013,Arlington,Arlington,2704,427,135
7/17/2020,51015,Augusta,Central Shenandoah,221,8,2
7/17/2020,51017,Bath,Central Shenandoah,2,0,0
7/17/2020,51019,Bedford,Central Virginia,177,3,4
7/17/2020,51021,Bland,Mount Rogers,5,0,0
7/17/2020,51023,Botetourt,Alleghany,165,13,4
7/17/2020,51025,Brunswick,Southside,146,22,1
7/17/2020,51027,Buchanan,Cumberland Plateau,52,1,0
7/17/2020,51029,Buckingham,Piedmont,579,22,6
7/17/2020,51031,Campbell,Central Virginia,73,3,1
7/17/2020,51033,Caroline,Rappahannock,154,17,4
7/17/2020,51035,Carroll,Mount Rogers,268,23,10
7/17/2020,51036,Charles City,Chickahominy,42,14,3
7/17/2020,51037,Charlotte,Piedmont,39,5,0
7/17/2020,51041,Chesterfield,Chesterfield,3402,170,64
7/17/2020,51043,Clarke,Lord Fairfax,61,7,0
7/17/2020,51045,Craig,Alleghany,10,1,0
7/17/2020,51047,Culpeper,Rappahannock Rapidan,885,69,12
7/17/2020,51049,Cumberland,Piedmont,60,4,0
7/17/2020,51051,Dickenson,Cumberland Plateau,9,0,0
7/17/2020,51053,Dinwiddie,Crater,164,28,2
7/17/2020,51057,Essex,Three Rivers,67,5,0
7/17/2020,51059,Fairfax,Fairfax,14731,1787,508
7/17/2020,51061,Fauquier,Rappahannock Rapidan,511,32,8
7/17/2020,51063,Floyd,New River,27,2,1
7/17/2020,51065,Fluvanna,Thomas Jefferson,142,27,8
7/17/2020,51067,Franklin County,West Piedmont,117,8,1
7/17/2020,51069,Frederick,Lord Fairfax,575,44,7
7/17/2020,51071,Giles,New River,18,1,0
7/17/2020,51073,Gloucester,Three Rivers,86,11,1
7/17/2020,51075,Goochland,Chickahominy,138,24,6
7/17/2020,51077,Grayson,Mount Rogers,99,6,4
7/17/2020,51079,Greene,Thomas Jefferson,92,7,2
7/17/2020,51081,Greensville,Crater,386,22,9
7/17/2020,51083,Halifax,Southside,97,5,1
7/17/2020,51085,Hanover,Chickahominy,508,69,30
7/17/2020,51087,Henrico,Henrico,2987,279,175
7/17/2020,51089,Henry,West Piedmont,391,40,5
7/17/2020,51091,Highland,Central Shenandoah,3,0,0
7/17/2020,51093,Isle of Wight,Western Tidewater,251,18,9
7/17/2020,51095,James City,Peninsula,396,59,16
7/17/2020,51097,King and Queen,Three Rivers,31,4,1
7/17/2020,51099,King George,Rappahannock,107,15,4
7/17/2020,51101,King William,Three Rivers,60,7,2
7/17/2020,51103,Lancaster,Three Rivers,22,1,0
7/17/2020,51105,Lee,Lenowisco,27,1,0
7/17/2020,51107,Loudoun,Loudoun,4576,315,102
7/17/2020,51109,Louisa,Thomas Jefferson,147,18,2
