Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/5/2020,West Piedmont,0-9,1,0,0
5/5/2020,Rappahannock Rapidan,70-79,15,2,2
5/5/2020,Central Shenandoah,70-79,60,12,8
5/5/2020,Chesapeake,30-39,46,3,0
5/5/2020,Chickahominy,0-9,1,0,0
5/5/2020,Prince William,0-9,63,2,0
5/5/2020,Eastern Shore,50-59,131,4,3
5/5/2020,Mount Rogers,50-59,22,1,0
5/5/2020,Loudoun,10-19,29,0,0
5/5/2020,Southside,80+,37,4,5
5/5/2020,Central Virginia,80+,4,1,0
5/5/2020,Rappahannock,Missing,1,0,0
5/5/2020,Rappahannock Rapidan,30-39,91,7,0
5/5/2020,New River,50-59,15,2,0
5/5/2020,Richmond,80+,21,8,7
5/5/2020,Mount Rogers,20-29,20,0,0
5/5/2020,Eastern Shore,20-29,69,1,0
5/5/2020,Hampton,10-19,6,0,0
5/5/2020,Portsmouth,0-9,1,1,0
5/5/2020,Crater,70-79,31,11,4
5/5/2020,Chesterfield,40-49,130,5,2
5/5/2020,Alexandria,Missing,1,0,0
5/5/2020,Southside,30-39,12,0,0
5/5/2020,Prince William,Missing,0,0,0
5/5/2020,Hampton,60-69,21,9,1
5/5/2020,Fairfax,20-29,660,33,1
5/5/2020,Thomas Jefferson,0-9,4,1,0
5/5/2020,Lenowisco,40-49,4,1,0
5/5/2020,Central Virginia,10-19,9,0,0
5/5/2020,Lenowisco,70-79,4,3,0
5/5/2020,Virginia Beach,0-9,3,0,0
5/5/2020,Lenowisco,50-59,11,4,0
5/5/2020,Chesapeake,70-79,26,14,0
5/5/2020,Western Tidewater,80+,112,18,11
5/5/2020,Thomas Jefferson,10-19,6,0,0
5/5/2020,Richmond,40-49,82,5,0
5/5/2020,Lord Fairfax,50-59,107,5,1
5/5/2020,Lord Fairfax,10-19,24,0,0
5/5/2020,Rappahannock Rapidan,10-19,28,0,0
5/5/2020,Crater,50-59,45,11,1
5/5/2020,Arlington,Missing,1,0,0
5/5/2020,Roanoke,50-59,11,1,0
5/5/2020,Rappahannock,10-19,29,0,0
5/5/2020,Roanoke,10-19,0,0,0
5/5/2020,Eastern Shore,Missing,0,0,0
5/5/2020,Mount Rogers,Missing,0,0,0
5/5/2020,Prince William,60-69,268,47,10
5/5/2020,Alleghany,70-79,12,3,1
5/5/2020,Crater,20-29,33,4,0
5/5/2020,Loudoun,60-69,90,17,1
5/5/2020,Fairfax,0-9,66,4,0
5/5/2020,Roanoke,Missing,1,0,0
5/5/2020,Alexandria,20-29,138,2,1
5/5/2020,Portsmouth,70-79,13,5,2
5/5/2020,Alleghany,30-39,10,0,0
5/5/2020,Prince William,20-29,414,21,0
5/5/2020,Southside,70-79,21,7,4
5/5/2020,Piedmont,Missing,0,0,0
5/5/2020,Rappahannock,0-9,13,1,0
5/5/2020,Henrico,30-39,98,3,0
5/5/2020,Prince William,10-19,119,3,0
5/5/2020,Chickahominy,10-19,5,0,0
5/5/2020,Lord Fairfax,0-9,12,0,0
5/5/2020,Central Virginia,Missing,0,0,0
5/5/2020,Fairfax,60-69,592,164,25
5/5/2020,Hampton,20-29,21,1,0
5/5/2020,Central Shenandoah,40-49,168,2,0
5/5/2020,Pittsylvania-Danville,0-9,1,0,0
5/5/2020,Crater,30-39,39,2,0
5/5/2020,Virginia Beach,70-79,46,21,4
5/5/2020,Virginia Beach,30-39,68,6,0
5/5/2020,Piedmont,0-9,1,0,0
5/5/2020,Central Shenandoah,30-39,135,2,0
5/5/2020,Hampton,50-59,28,7,1
5/5/2020,Peninsula,70-79,67,34,10
5/5/2020,Arlington,20-29,160,13,0
5/5/2020,West Piedmont,70-79,5,3,1
5/5/2020,Richmond,20-29,72,5,0
5/5/2020,Roanoke,0-9,0,0,0
