Lab Report Date,Number of People Tested,Positive Results
3/16/2020,307,11
3/17/2020,177,17
3/18/2020,336,16
3/19/2020,582,77
3/20/2020,592,53
3/21/2020,908,64
3/22/2020,506,24
3/23/2020,703,73
3/24/2020,1003,105
3/25/2020,1077,121
3/26/2020,1293,162
3/27/2020,1888,214
3/28/2020,1635,188
3/29/2020,1247,193
3/30/2020,1616,224
3/31/2020,1774,319
4/1/2020,2283,346
4/2/2020,1816,317
4/3/2020,2419,333
4/4/2020,2240,420
4/5/2020,3677,479
4/6/2020,2765,395
4/7/2020,2199,382
4/8/2020,2280,429
4/9/2020,2792,511
4/10/2020,2561,415
4/11/2020,2125,443
4/12/2020,2102,411
4/13/2020,1216,337
4/14/2020,1593,367
4/15/2020,2625,536
4/16/2020,2961,618
4/17/2020,2778,544
4/18/2020,2590,530
4/19/2020,2429,561
4/20/2020,1589,440
4/21/2020,2451,521
4/22/2020,4733,880
4/23/2020,5281,908
4/24/2020,3600,759
4/25/2020,4368,809
4/26/2020,3670,831
4/27/2020,2553,567
4/28/2020,3964,762
4/29/2020,6655,1200
4/30/2020,5581,893
5/1/2020,6693,1150
5/2/2020,6512,925
5/3/2020,4973,944
5/4/2020,2240,403
