Report Date,ZIP Code,Number of Cases,Number of PCR Testing Encounters
5/18/2020,20105,65,440
5/18/2020,20106,28,90
5/18/2020,20109,599,1490
5/18/2020,20110,705,1692
5/18/2020,20111,468,1163
5/18/2020,20112,117,635
5/18/2020,20115,22,113
5/18/2020,20117,7,43
5/18/2020,20118,Suppressed*,27
5/18/2020,20119,14,83
5/18/2020,20120,162,752
5/18/2020,20121,108,509
5/18/2020,20124,34,242
5/18/2020,20129,7,24
5/18/2020,20130,0,6
5/18/2020,20132,27,240
5/18/2020,20135,5,51
5/18/2020,20136,88,517
5/18/2020,20137,Suppressed*,23
5/18/2020,20139,Suppressed*,5
5/18/2020,20141,8,97
5/18/2020,20143,0,17
5/18/2020,20144,Suppressed*,11
5/18/2020,20147,210,1332
5/18/2020,20148,84,652
5/18/2020,20151,122,435
5/18/2020,20152,65,420
5/18/2020,20155,138,687
5/18/2020,20158,9,52
5/18/2020,20164,445,1179
5/18/2020,20165,135,647
5/18/2020,20166,75,321
5/18/2020,20169,55,378
5/18/2020,20170,430,1133
5/18/2020,20171,192,720
5/18/2020,20175,76,505
5/18/2020,20176,230,927
5/18/2020,20180,9,117
5/18/2020,20181,24,186
5/18/2020,20184,Suppressed*,22
5/18/2020,20186,39,335
5/18/2020,20187,39,305
5/18/2020,20190,129,557
5/18/2020,20191,170,699
5/18/2020,20194,21,197
5/18/2020,20197,Suppressed*,44
5/18/2020,20198,Suppressed*,32
5/18/2020,22003,694,1875
5/18/2020,22015,262,941
5/18/2020,22025,68,397
5/18/2020,22026,109,520
5/18/2020,22027,39,73
5/18/2020,22030,211,1066
5/18/2020,22031,214,872
5/18/2020,22032,87,516
5/18/2020,22033,141,709
5/18/2020,22035,0,4
5/18/2020,22039,47,309
5/18/2020,22041,476,1118
5/18/2020,22042,424,1186
5/18/2020,22043,151,529
5/18/2020,22044,168,442
5/18/2020,22046,103,416
5/18/2020,22060,12,80
5/18/2020,22066,38,328
5/18/2020,22079,197,876
5/18/2020,22101,92,677
5/18/2020,22102,76,564
5/18/2020,22124,36,297
5/18/2020,22125,Suppressed*,21
5/18/2020,22134,13,52
5/18/2020,22150,501,1236
5/18/2020,22151,181,544
5/18/2020,22152,130,574
5/18/2020,22153,108,590
5/18/2020,22172,79,290
5/18/2020,22180,110,549
5/18/2020,22181,31,250
5/18/2020,22182,67,480
5/18/2020,22191,873,2856
5/18/2020,22192,354,1668
5/18/2020,22193,781,2686
5/18/2020,22201,155,845
5/18/2020,22202,130,583
5/18/2020,22203,213,603
5/18/2020,22204,650,1872
5/18/2020,22205,92,486
5/18/2020,22206,120,548
5/18/2020,22207,198,882
5/18/2020,22209,54,311
5/18/2020,22211,Suppressed*,11
5/18/2020,22213,11,68
5/18/2020,22214,0,2
5/18/2020,22301,54,349
5/18/2020,22302,156,522
5/18/2020,22303,115,480
5/18/2020,22304,450,1578
5/18/2020,22305,431,832
5/18/2020,22306,497,1268
5/18/2020,22307,45,262
5/18/2020,22308,53,189
5/18/2020,22309,383,1055
5/18/2020,22310,194,718
5/18/2020,22311,277,774
5/18/2020,22312,313,960
5/18/2020,22314,138,830
5/18/2020,22315,68,500
5/18/2020,22401,89,586
5/18/2020,22405,64,597
5/18/2020,22406,54,464
5/18/2020,22407,191,1248
5/18/2020,22408,63,553
5/18/2020,22427,Suppressed*,59
5/18/2020,22432,Suppressed*,12
5/18/2020,22433,Suppressed*,6
5/18/2020,22435,Suppressed*,52
5/18/2020,22436,0,11
5/18/2020,22437,Suppressed*,16
5/18/2020,22438,Suppressed*,4
5/18/2020,22443,11,131
5/18/2020,22448,Suppressed*,15
5/18/2020,22454,Suppressed*,24
5/18/2020,22460,Suppressed*,21
5/18/2020,22469,Suppressed*,32
5/18/2020,22473,10,95
5/18/2020,22476,Suppressed*,4
5/18/2020,22480,0,21
5/18/2020,22482,Suppressed*,68
5/18/2020,22485,47,488
5/18/2020,22488,Suppressed*,22
5/18/2020,22503,Suppressed*,95
5/18/2020,22504,0,3
5/18/2020,22508,25,261
5/18/2020,22511,Suppressed*,16
5/18/2020,22514,Suppressed*,26
5/18/2020,22520,27,118
5/18/2020,22529,0,5
5/18/2020,22530,0,1
5/18/2020,22534,Suppressed*,38
5/18/2020,22535,0,11
5/18/2020,22538,0,6
5/18/2020,22539,Suppressed*,48
5/18/2020,22542,Suppressed*,34
5/18/2020,22546,25,244
5/18/2020,22548,0,3
5/18/2020,22551,55,399
5/18/2020,22553,14,268
5/18/2020,22554,244,1213
5/18/2020,22556,114,586
5/18/2020,22560,26,154
5/18/2020,22567,Suppressed*,75
5/18/2020,22572,249,449
5/18/2020,22576,0,31
5/18/2020,22578,0,38
5/18/2020,22579,Suppressed*,4
5/18/2020,22580,6,90
5/18/2020,22601,89,206
5/18/2020,22602,86,178
5/18/2020,22603,34,83
5/18/2020,22610,7,12
5/18/2020,22611,10,86
5/18/2020,22620,Suppressed*,14
5/18/2020,22623,Suppressed*,0
5/18/2020,22624,Suppressed*,11
5/18/2020,22625,5,12
5/18/2020,22627,0,9
5/18/2020,22630,75,159
5/18/2020,22637,Suppressed*,5
5/18/2020,22639,0,4
5/18/2020,22640,Suppressed*,5
5/18/2020,22641,0,1
5/18/2020,22642,15,49
5/18/2020,22643,0,5
5/18/2020,22644,40,36
5/18/2020,22645,15,27
5/18/2020,22646,0,3
5/18/2020,22650,Suppressed*,12
5/18/2020,22652,Suppressed*,14
5/18/2020,22654,Suppressed*,5
5/18/2020,22655,56,109
5/18/2020,22656,7,33
5/18/2020,22657,28,86
5/18/2020,22660,7,10
5/18/2020,22663,Suppressed*,4
5/18/2020,22664,102,119
5/18/2020,22701,333,827
5/18/2020,22709,0,16
5/18/2020,22711,0,1
5/18/2020,22712,59,247
5/18/2020,22713,5,21
5/18/2020,22714,6,25
5/18/2020,22715,Suppressed*,15
5/18/2020,22716,Suppressed*,9
5/18/2020,22718,Suppressed*,11
5/18/2020,22719,0,4
5/18/2020,22720,0,9
5/18/2020,22723,0,3
5/18/2020,22724,6,34
5/18/2020,22726,Suppressed*,14
5/18/2020,22727,15,114
5/18/2020,22728,Suppressed*,46
5/18/2020,22729,0,7
5/18/2020,22730,0,1
5/18/2020,22731,0,3
5/18/2020,22732,Suppressed*,7
5/18/2020,22733,6,31
5/18/2020,22734,16,81
5/18/2020,22735,Suppressed*,27
5/18/2020,22736,Suppressed*,9
5/18/2020,22737,Suppressed*,37
5/18/2020,22738,Suppressed*,24
5/18/2020,22740,Suppressed*,20
5/18/2020,22741,0,5
5/18/2020,22742,9,39
5/18/2020,22743,0,1
5/18/2020,22747,0,13
5/18/2020,22749,0,4
5/18/2020,22801,447,957
5/18/2020,22802,370,906
5/18/2020,22807,Suppressed*,2
5/18/2020,22810,Suppressed*,11
5/18/2020,22811,Suppressed*,15
5/18/2020,22812,13,156
5/18/2020,22815,49,170
5/18/2020,22820,0,1
5/18/2020,22821,16,83
5/18/2020,22824,47,59
5/18/2020,22827,37,230
5/18/2020,22830,14,36
5/18/2020,22831,Suppressed*,11
5/18/2020,22832,Suppressed*,17
5/18/2020,22834,Suppressed*,18
5/18/2020,22835,100,230
5/18/2020,22840,Suppressed*,65
5/18/2020,22841,8,46
5/18/2020,22842,49,89
5/18/2020,22843,Suppressed*,28
5/18/2020,22844,28,91
5/18/2020,22845,0,1
5/18/2020,22846,6,45
5/18/2020,22847,Suppressed*,11
5/18/2020,22849,11,88
5/18/2020,22850,5,24
5/18/2020,22851,44,105
5/18/2020,22853,38,114
5/18/2020,22901,91,993
5/18/2020,22902,29,593
5/18/2020,22903,42,712
5/18/2020,22904,0,6
5/18/2020,22911,16,427
5/18/2020,22920,Suppressed*,43
5/18/2020,22922,Suppressed*,40
5/18/2020,22923,6,98
5/18/2020,22931,0,9
5/18/2020,22932,13,177
5/18/2020,22935,Suppressed*,23
5/18/2020,22936,Suppressed*,92
5/18/2020,22937,Suppressed*,38
5/18/2020,22938,Suppressed*,21
5/18/2020,22939,Suppressed*,64
5/18/2020,22940,Suppressed*,21
5/18/2020,22942,7,252
5/18/2020,22943,0,10
5/18/2020,22946,Suppressed*,4
5/18/2020,22947,Suppressed*,84
5/18/2020,22948,0,2
5/18/2020,22949,0,32
5/18/2020,22952,0,29
5/18/2020,22958,Suppressed*,30
5/18/2020,22959,Suppressed*,54
5/18/2020,22960,20,296
5/18/2020,22963,24,390
5/18/2020,22964,0,4
5/18/2020,22967,Suppressed*,25
5/18/2020,22968,9,201
5/18/2020,22969,Suppressed*,29
5/18/2020,22971,0,40
5/18/2020,22972,Suppressed*,15
5/18/2020,22973,5,154
5/18/2020,22974,5,120
5/18/2020,22976,0,7
5/18/2020,22980,31,475
5/18/2020,22989,0,4
5/18/2020,23002,18,258
5/18/2020,23004,9,40
5/18/2020,23005,33,258
5/18/2020,23009,11,116
5/18/2020,23011,Suppressed*,22
5/18/2020,23015,9,88
5/18/2020,23021,0,4
5/18/2020,23022,5,32
5/18/2020,23023,Suppressed*,5
5/18/2020,23024,20,140
5/18/2020,23025,0,7
5/18/2020,23027,Suppressed*,36
5/18/2020,23030,15,108
5/18/2020,23032,0,1
5/18/2020,23035,Suppressed*,18
5/18/2020,23038,7,37
5/18/2020,23039,Suppressed*,23
5/18/2020,23040,8,108
5/18/2020,23043,Suppressed*,13
5/18/2020,23045,0,1
5/18/2020,23047,0,23
5/18/2020,23050,Suppressed*,6
5/18/2020,23055,38,60
5/18/2020,23056,0,0
5/18/2020,23059,38,507
5/18/2020,23060,88,694
5/18/2020,23061,16,274
5/18/2020,23062,Suppressed*,49
5/18/2020,23063,53,178
5/18/2020,23064,0,2
5/18/2020,23065,Suppressed*,26
5/18/2020,23066,0,3
5/18/2020,23068,0,5
5/18/2020,23069,Suppressed*,51
5/18/2020,23070,0,6
5/18/2020,23071,Suppressed*,16
5/18/2020,23072,7,160
5/18/2020,23075,107,300
5/18/2020,23076,0,10
5/18/2020,23079,0,1
5/18/2020,23083,Suppressed*,43
5/18/2020,23084,6,65
5/18/2020,23085,Suppressed*,7
5/18/2020,23086,Suppressed*,38
5/18/2020,23089,8,114
5/18/2020,23091,0,8
5/18/2020,23092,0,6
5/18/2020,23093,26,370
5/18/2020,23102,7,42
5/18/2020,23103,15,105
5/18/2020,23106,Suppressed*,22
5/18/2020,23108,0,1
5/18/2020,23109,Suppressed*,34
5/18/2020,23110,0,13
5/18/2020,23111,66,664
5/18/2020,23112,91,903
5/18/2020,23113,63,525
5/18/2020,23114,33,343
5/18/2020,23115,0,5
5/18/2020,23116,94,707
5/18/2020,23117,9,216
5/18/2020,23119,Suppressed*,2
5/18/2020,23120,22,219
5/18/2020,23123,16,92
5/18/2020,23124,6,77
5/18/2020,23126,0,5
5/18/2020,23128,Suppressed*,20
5/18/2020,23129,0,3
5/18/2020,23130,Suppressed*,4
5/18/2020,23138,0,4
5/18/2020,23139,24,381
5/18/2020,23140,14,125
5/18/2020,23141,9,128
5/18/2020,23146,6,34
5/18/2020,23148,Suppressed*,24
5/18/2020,23149,5,51
5/18/2020,23150,43,262
5/18/2020,23153,Suppressed*,22
5/18/2020,23156,Suppressed*,22
5/18/2020,23160,0,8
5/18/2020,23161,0,1
5/18/2020,23163,0,0
5/18/2020,23168,8,179
5/18/2020,23169,0,11
5/18/2020,23173,0,1
5/18/2020,23175,Suppressed*,19
5/18/2020,23176,0,2
5/18/2020,23177,0,12
5/18/2020,23180,0,2
5/18/2020,23181,Suppressed*,112
5/18/2020,23185,131,1081
5/18/2020,23187,0,12
5/18/2020,23188,124,1060
5/18/2020,23192,10,91
5/18/2020,23219,13,98
5/18/2020,23220,59,483
5/18/2020,23221,17,210
5/18/2020,23222,76,526
5/18/2020,23223,211,1259
5/18/2020,23224,305,1185
5/18/2020,23225,180,1152
5/18/2020,23226,87,375
5/18/2020,23227,67,558
5/18/2020,23228,105,807
5/18/2020,23229,80,608
5/18/2020,23230,11,140
5/18/2020,23231,105,727
5/18/2020,23233,105,649
5/18/2020,23234,271,1170
5/18/2020,23235,95,839
5/18/2020,23236,56,625
5/18/2020,23237,90,541
5/18/2020,23238,222,670
5/18/2020,23250,0,2
5/18/2020,23294,49,343
5/18/2020,23301,58,117
5/18/2020,23302,Suppressed*,6
5/18/2020,23303,13,39
5/18/2020,23304,Suppressed*,4
5/18/2020,23306,21,61
5/18/2020,23307,12,38
5/18/2020,23308,35,84
5/18/2020,23310,18,90
5/18/2020,23313,Suppressed*,4
5/18/2020,23314,10,160
5/18/2020,23315,Suppressed*,27
5/18/2020,23316,11,38
5/18/2020,23320,135,1448
5/18/2020,23321,46,641
5/18/2020,23322,74,862
5/18/2020,23323,56,620
5/18/2020,23324,37,408
5/18/2020,23325,37,340
5/18/2020,23336,8,52
5/18/2020,23337,0,8
5/18/2020,23347,14,30
5/18/2020,23350,52,148
5/18/2020,23354,9,18
5/18/2020,23356,Suppressed*,29
5/18/2020,23357,31,54
5/18/2020,23359,11,21
5/18/2020,23389,Suppressed*,4
5/18/2020,23395,14,34
5/18/2020,23398,Suppressed*,8
5/18/2020,23401,Suppressed*,13
5/18/2020,23405,10,30
5/18/2020,23407,43,67
5/18/2020,23408,Suppressed*,4
5/18/2020,23409,Suppressed*,4
5/18/2020,23410,47,118
5/18/2020,23413,69,212
5/18/2020,23414,22,39
5/18/2020,23415,32,94
5/18/2020,23416,11,36
5/18/2020,23417,46,141
5/18/2020,23418,42,88
5/18/2020,23420,62,142
5/18/2020,23421,114,377
5/18/2020,23422,Suppressed*,14
5/18/2020,23423,Suppressed*,8
5/18/2020,23426,5,6
5/18/2020,23427,5,9
5/18/2020,23430,30,283
5/18/2020,23432,6,24
5/18/2020,23433,0,26
5/18/2020,23434,154,1242
5/18/2020,23435,100,593
5/18/2020,23436,0,16
5/18/2020,23437,6,75
5/18/2020,23438,Suppressed*,49
5/18/2020,23440,0,2
5/18/2020,23441,18,40
5/18/2020,23442,19,57
5/18/2020,23451,44,871
5/18/2020,23452,80,1321
5/18/2020,23453,51,713
5/18/2020,23454,85,1211
5/18/2020,23455,38,951
5/18/2020,23456,57,1079
5/18/2020,23457,5,70
5/18/2020,23459,Suppressed*,27
5/18/2020,23460,0,8
5/18/2020,23461,0,7
5/18/2020,23462,116,1417
5/18/2020,23464,80,1317
5/18/2020,23480,Suppressed*,11
5/18/2020,23486,0,4
5/18/2020,23487,59,142
5/18/2020,23488,8,18
5/18/2020,23502,40,517
5/18/2020,23503,38,553
5/18/2020,23504,52,866
5/18/2020,23505,33,491
5/18/2020,23507,8,143
5/18/2020,23508,23,255
5/18/2020,23509,29,266
5/18/2020,23510,47,422
5/18/2020,23511,0,34
5/18/2020,23513,32,605
5/18/2020,23517,5,88
5/18/2020,23518,39,637
5/18/2020,23523,9,145
5/18/2020,23551,0,1
5/18/2020,23601,23,521
5/18/2020,23602,43,642
5/18/2020,23603,Suppressed*,47
5/18/2020,23604,0,23
5/18/2020,23605,13,235
5/18/2020,23606,31,441
5/18/2020,23607,23,321
5/18/2020,23608,67,673
5/18/2020,23651,Suppressed*,7
5/18/2020,23661,15,214
5/18/2020,23662,7,169
5/18/2020,23663,11,202
5/18/2020,23664,7,142
5/18/2020,23665,Suppressed*,31
5/18/2020,23666,68,845
5/18/2020,23669,55,624
5/18/2020,23690,0,51
5/18/2020,23691,0,6
5/18/2020,23692,12,273
5/18/2020,23693,12,271
5/18/2020,23696,0,47
5/18/2020,23701,107,683
5/18/2020,23702,14,203
5/18/2020,23703,48,516
5/18/2020,23704,33,457
5/18/2020,23707,23,271
5/18/2020,23708,Suppressed*,94
5/18/2020,23709,0,92
5/18/2020,23801,10,96
5/18/2020,23803,77,763
5/18/2020,23805,27,388
5/18/2020,23821,Suppressed*,29
5/18/2020,23824,10,140
5/18/2020,23827,Suppressed*,17
5/18/2020,23828,0,5
5/18/2020,23829,78,460
5/18/2020,23830,Suppressed*,32
5/18/2020,23831,76,592
5/18/2020,23832,146,813
5/18/2020,23833,Suppressed*,26
5/18/2020,23834,99,535
5/18/2020,23836,22,210
5/18/2020,23837,48,60
5/18/2020,23838,27,241
5/18/2020,23839,0,21
5/18/2020,23840,Suppressed*,44
5/18/2020,23841,7,67
5/18/2020,23842,8,97
5/18/2020,23843,0,4
5/18/2020,23844,Suppressed*,6
5/18/2020,23845,0,4
5/18/2020,23846,0,16
5/18/2020,23847,81,343
5/18/2020,23850,0,25
5/18/2020,23851,33,266
5/18/2020,23856,Suppressed*,5
5/18/2020,23857,Suppressed*,5
5/18/2020,23860,61,664
5/18/2020,23866,Suppressed*,44
5/18/2020,23867,18,73
5/18/2020,23868,12,73
5/18/2020,23872,Suppressed*,52
5/18/2020,23874,0,14
5/18/2020,23875,22,226
5/18/2020,23876,0,2
5/18/2020,23878,Suppressed*,18
5/18/2020,23879,5,14
5/18/2020,23881,Suppressed*,28
5/18/2020,23882,5,54
5/18/2020,23883,Suppressed*,44
5/18/2020,23884,Suppressed*,0
5/18/2020,23885,Suppressed*,54
5/18/2020,23887,0,4
5/18/2020,23888,Suppressed*,45
5/18/2020,23889,Suppressed*,8
5/18/2020,23890,19,91
5/18/2020,23891,64,107
5/18/2020,23893,Suppressed*,5
5/18/2020,23894,0,7
5/18/2020,23897,Suppressed*,8
5/18/2020,23898,5,35
5/18/2020,23899,Suppressed*,14
5/18/2020,23901,71,467
5/18/2020,23915,Suppressed*,14
5/18/2020,23917,10,49
5/18/2020,23919,5,32
5/18/2020,23920,Suppressed*,35
5/18/2020,23921,7,73
5/18/2020,23922,7,128
5/18/2020,23923,6,55
5/18/2020,23924,53,147
5/18/2020,23927,61,162
5/18/2020,23930,Suppressed*,129
5/18/2020,23934,Suppressed*,20
5/18/2020,23936,381,240
5/18/2020,23937,Suppressed*,52
5/18/2020,23938,0,4
5/18/2020,23942,Suppressed*,32
5/18/2020,23944,Suppressed*,60
5/18/2020,23947,Suppressed*,99
5/18/2020,23950,8,55
5/18/2020,23952,0,7
5/18/2020,23954,Suppressed*,54
5/18/2020,23958,11,102
5/18/2020,23959,0,25
5/18/2020,23960,Suppressed*,63
5/18/2020,23962,Suppressed*,21
5/18/2020,23963,0,10
5/18/2020,23964,0,26
5/18/2020,23966,Suppressed*,59
5/18/2020,23967,Suppressed*,19
5/18/2020,23968,Suppressed*,13
5/18/2020,23970,14,112
5/18/2020,23974,Suppressed*,111
5/18/2020,23976,0,9
5/18/2020,24011,0,10
5/18/2020,24012,45,191
5/18/2020,24013,6,40
5/18/2020,24014,54,114
5/18/2020,24015,13,60
5/18/2020,24016,Suppressed*,58
5/18/2020,24017,14,173
5/18/2020,24018,34,256
5/18/2020,24019,10,164
5/18/2020,24053,Suppressed*,29
5/18/2020,24054,5,58
5/18/2020,24055,Suppressed*,130
5/18/2020,24058,0,4
5/18/2020,24059,0,5
5/18/2020,24060,33,454
5/18/2020,24064,0,24
5/18/2020,24065,Suppressed*,29
5/18/2020,24066,Suppressed*,14
5/18/2020,24067,Suppressed*,9
5/18/2020,24069,Suppressed*,25
5/18/2020,24070,0,9
5/18/2020,24072,0,10
5/18/2020,24073,19,384
5/18/2020,24076,0,7
5/18/2020,24077,Suppressed*,3
5/18/2020,24078,10,84
5/18/2020,24079,0,10
5/18/2020,24082,0,4
5/18/2020,24083,7,22
5/18/2020,24084,7,166
5/18/2020,24085,7,10
5/18/2020,24087,6,59
5/18/2020,24088,0,9
5/18/2020,24089,Suppressed*,32
5/18/2020,24090,9,21
5/18/2020,24091,Suppressed*,59
5/18/2020,24092,Suppressed*,9
5/18/2020,24093,0,1
5/18/2020,24095,Suppressed*,21
5/18/2020,24101,Suppressed*,32
5/18/2020,24102,0,2
5/18/2020,24104,Suppressed*,54
5/18/2020,24105,0,5
5/18/2020,24112,22,315
5/18/2020,24120,Suppressed*,12
5/18/2020,24121,Suppressed*,80
5/18/2020,24122,Suppressed*,16
5/18/2020,24124,Suppressed*,37
5/18/2020,24127,Suppressed*,39
5/18/2020,24128,Suppressed*,16
5/18/2020,24131,0,1
5/18/2020,24132,0,4
5/18/2020,24133,0,33
5/18/2020,24134,0,36
5/18/2020,24136,0,15
5/18/2020,24137,Suppressed*,13
5/18/2020,24138,0,20
5/18/2020,24139,0,7
5/18/2020,24141,Suppressed*,151
5/18/2020,24142,0,1
5/18/2020,24147,Suppressed*,10
5/18/2020,24148,5,69
5/18/2020,24149,0,27
5/18/2020,24150,Suppressed*,4
5/18/2020,24151,13,51
5/18/2020,24153,55,489
5/18/2020,24161,0,6
5/18/2020,24162,6,41
5/18/2020,24165,Suppressed*,26
5/18/2020,24167,0,3
5/18/2020,24168,Suppressed*,16
5/18/2020,24171,6,71
5/18/2020,24174,Suppressed*,24
5/18/2020,24175,Suppressed*,36
5/18/2020,24176,Suppressed*,14
5/18/2020,24179,14,89
5/18/2020,24184,6,13
5/18/2020,24185,0,4
