Age_Range,Cases,Hospitalized,Deaths,State,Date
0-9,1909,47,0,Virginia,2020-06-22
10-19,3731,56,0,Virginia,2020-06-22
20-29,9736,251,3,Virginia,2020-06-22
30-39,10968,514,11,Virginia,2020-06-22
40-49,10626,790,40,Virginia,2020-06-22
50-59,9123,1091,102,Virginia,2020-06-22
60-69,5982,1184,234,Virginia,2020-06-22
70-79,3072,977,412,Virginia,2020-06-22
80+,3248,994,841,Virginia,2020-06-22
Missing,599,9,2,Virginia,2020-06-22
0-9,1887,47,0,Virginia,2020-06-21
10-19,3656,56,0,Virginia,2020-06-21
20-29,9630,248,3,Virginia,2020-06-21
30-39,10871,511,11,Virginia,2020-06-21
40-49,10535,785,38,Virginia,2020-06-21
50-59,9047,1077,101,Virginia,2020-06-21
60-69,5943,1178,231,Virginia,2020-06-21
70-79,3059,971,406,Virginia,2020-06-21
80+,3236,987,828,Virginia,2020-06-21
Missing,601,9,2,Virginia,2020-06-21
0-9,1833,45,0,Virginia,2020-06-19
10-19,3532,56,0,Virginia,2020-06-19
20-29,9401,246,3,Virginia,2020-06-19
30-39,10687,506,11,Virginia,2020-06-19
40-49,10388,769,37,Virginia,2020-06-19
50-59,8916,1066,98,Virginia,2020-06-19
60-69,5866,1165,228,Virginia,2020-06-19
70-79,3020,965,404,Virginia,2020-06-19
80+,3198,981,824,Virginia,2020-06-19
Missing,602,8,2,Virginia,2020-06-19
0-9,1806,45,0,Virginia,2020-06-18
10-19,3454,56,0,Virginia,2020-06-18
20-29,9252,245,3,Virginia,2020-06-18
30-39,10569,506,11,Virginia,2020-06-18
40-49,10289,767,37,Virginia,2020-06-18
50-59,8829,1065,98,Virginia,2020-06-18
60-69,5816,1163,226,Virginia,2020-06-18
70-79,3003,964,402,Virginia,2020-06-18
80+,3182,978,823,Virginia,2020-06-18
Missing,593,8,2,Virginia,2020-06-18
0-9,1786,42,0,Virginia,2020-06-17
10-19,3395,53,0,Virginia,2020-06-17
20-29,9148,241,3,Virginia,2020-06-17
30-39,10475,504,11,Virginia,2020-06-17
40-49,10187,759,37,Virginia,2020-06-17
50-59,8738,1053,95,Virginia,2020-06-17
60-69,5768,1156,222,Virginia,2020-06-17
70-79,2990,960,400,Virginia,2020-06-17
80+,3163,968,816,Virginia,2020-06-17
Missing,588,8,2,Virginia,2020-06-17
0-9,1764,41,0,Virginia,2020-06-16
10-19,3338,53,0,Virginia,2020-06-16
20-29,9061,238,3,Virginia,2020-06-16
30-39,10377,499,12,Virginia,2020-06-16
40-49,10127,752,37,Virginia,2020-06-16
50-59,8676,1040,94,Virginia,2020-06-16
60-69,5718,1140,222,Virginia,2020-06-16
70-79,2975,957,398,Virginia,2020-06-16
80+,3156,964,815,Virginia,2020-06-16
Missing,583,8,2,Virginia,2020-06-16
0-9,1741,39,0,Virginia,2020-06-15
10-19,3296,53,0,Virginia,2020-06-15
20-29,8967,235,3,Virginia,2020-06-15
30-39,10291,498,12,Virginia,2020-06-15
40-49,10059,745,37,Virginia,2020-06-15
50-59,8618,1033,93,Virginia,2020-06-15
60-69,5679,1129,222,Virginia,2020-06-15
70-79,2965,951,394,Virginia,2020-06-15
80+,3140,952,807,Virginia,2020-06-15
Missing,575,8,2,Virginia,2020-06-15
0-9,1712,39,0,Virginia,2020-06-14
10-19,3256,53,0,Virginia,2020-06-14
20-29,8880,232,3,Virginia,2020-06-14
30-39,10195,494,12,Virginia,2020-06-14
40-49,9990,736,37,Virginia,2020-06-14
50-59,8579,1023,92,Virginia,2020-06-14
60-69,5638,1115,220,Virginia,2020-06-14
70-79,2950,944,391,Virginia,2020-06-14
80+,3123,944,795,Virginia,2020-06-14
Missing,563,8,2,Virginia,2020-06-14
0-9,1692,37,0,Virginia,2020-06-13
10-19,3223,48,0,Virginia,2020-06-13
20-29,8803,228,3,Virginia,2020-06-13
30-39,10123,486,12,Virginia,2020-06-13
40-49,9937,731,37,Virginia,2020-06-13
50-59,8541,1019,92,Virginia,2020-06-13
60-69,5609,1105,218,Virginia,2020-06-13
70-79,2915,935,388,Virginia,2020-06-13
80+,3105,940,794,Virginia,2020-06-13
Missing,558,7,2,Virginia,2020-06-13
0-9,1664,37,0,Virginia,2020-06-12
10-19,3174,48,0,Virginia,2020-06-12
20-29,8675,226,3,Virginia,2020-06-12
30-39,10011,487,12,Virginia,2020-06-12
40-49,9846,729,36,Virginia,2020-06-12
50-59,8454,1013,93,Virginia,2020-06-12
60-69,5555,1101,218,Virginia,2020-06-12
70-79,2878,928,384,Virginia,2020-06-12
80+,3058,935,793,Virginia,2020-06-12
Missing,554,7,2,Virginia,2020-06-12
0-9,1604,36,0,Virginia,2020-06-10
10-19,3065,47,0,Virginia,2020-06-10
20-29,8443,218,3,Virginia,2020-06-10
30-39,9811,477,12,Virginia,2020-06-10
40-49,9654,713,36,Virginia,2020-06-10
50-59,8295,993,89,Virginia,2020-06-10
60-69,5447,1061,217,Virginia,2020-06-10
70-79,2806,900,378,Virginia,2020-06-10
80+,2980,909,783,Virginia,2020-06-10
Missing,542,6,2,Virginia,2020-06-10
0-9,1579,35,0,Virginia,2020-06-09
10-19,3015,45,0,Virginia,2020-06-09
20-29,8352,215,3,Virginia,2020-06-09
30-39,9717,470,12,Virginia,2020-06-09
40-49,9582,696,37,Virginia,2020-06-09
50-59,8226,971,89,Virginia,2020-06-09
60-69,5400,1045,215,Virginia,2020-06-09
70-79,2791,885,376,Virginia,2020-06-09
80+,2973,904,781,Virginia,2020-06-09
Missing,542,6,1,Virginia,2020-06-09
0-9,1565,35,0,Virginia,2020-06-08
10-19,2971,45,0,Virginia,2020-06-08
20-29,8243,212,3,Virginia,2020-06-08
30-39,9628,462,12,Virginia,2020-06-08
40-49,9516,683,36,Virginia,2020-06-08
50-59,8179,955,88,Virginia,2020-06-08
60-69,5369,1032,213,Virginia,2020-06-08
70-79,2769,877,370,Virginia,2020-06-08
80+,2963,896,773,Virginia,2020-06-08
Missing,535,6,1,Virginia,2020-06-08
0-9,1550,35,0,Virginia,2020-06-07
10-19,2937,45,0,Virginia,2020-06-07
20-29,8154,210,3,Virginia,2020-06-07
30-39,9537,458,12,Virginia,2020-06-07
40-49,9432,677,34,Virginia,2020-06-07
50-59,8104,937,87,Virginia,2020-06-07
60-69,5327,1022,211,Virginia,2020-06-07
70-79,2744,868,365,Virginia,2020-06-07
80+,2941,885,764,Virginia,2020-06-07
Missing,525,6,1,Virginia,2020-06-07
0-9,1450,35,0,Virginia,2020-06-05
10-19,2806,42,0,Virginia,2020-06-05
20-29,7824,203,3,Virginia,2020-06-05
30-39,9172,452,11,Virginia,2020-06-05
40-49,9093,665,34,Virginia,2020-06-05
