Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-12,Chesterfield,0-9,125,0,0,Virginia
2020-07-12,Central Shenandoah,10-19,128,1,0,Virginia
2020-07-12,Crater,0-9,30,1,0,Virginia
2020-07-12,Fairfax,70-79,683,246,110,Virginia
2020-07-12,Rappahannock,80+,98,33,19,Virginia
2020-07-12,Alexandria,10-19,180,4,0,Virginia
2020-07-12,Portsmouth,40-49,94,7,0,Virginia
2020-07-12,Three Rivers,50-59,113,9,1,Virginia
2020-07-12,Alleghany,Missing,2,0,0,Virginia
2020-07-12,Alexandria,30-39,560,31,0,Virginia
2020-07-12,Southside,Missing,0,0,0,Virginia
2020-07-12,Portsmouth,60-69,75,19,6,Virginia
2020-07-12,Roanoke,30-39,133,1,0,Virginia
2020-07-12,Three Rivers,60-69,81,14,1,Virginia
2020-07-12,Fairfax,50-59,2281,301,33,Virginia
2020-07-12,Portsmouth,50-59,99,21,2,Virginia
2020-07-12,Chickahominy,80+,82,34,26,Virginia
2020-07-12,Rappahannock Rapidan,50-59,232,29,2,Virginia
2020-07-12,Fairfax,80+,792,298,290,Virginia
2020-07-12,Hampton,Missing,12,0,0,Virginia
2020-07-12,Cumberland Plateau,80+,4,2,0,Virginia
2020-07-12,Alleghany,50-59,89,5,1,Virginia
2020-07-12,Prince William,40-49,2039,151,7,Virginia
2020-07-12,Fairfax,Missing,156,4,0,Virginia
2020-07-12,Virginia Beach,40-49,260,19,1,Virginia
2020-07-12,Richmond,Missing,21,0,0,Virginia
2020-07-12,Norfolk,40-49,201,14,1,Virginia
2020-07-12,Piedmont,80+,49,21,11,Virginia
2020-07-12,Virginia Beach,60-69,173,21,2,Virginia
2020-07-12,West Piedmont,40-49,104,8,2,Virginia
2020-07-12,Arlington,10-19,114,5,0,Virginia
2020-07-12,Lenowisco,0-9,3,0,0,Virginia
2020-07-12,Pittsylvania-Danville,50-59,61,12,0,Virginia
2020-07-12,Virginia Beach,50-59,225,18,0,Virginia
2020-07-12,Chesapeake,Missing,26,1,0,Virginia
2020-07-12,Central Shenandoah,80+,119,30,16,Virginia
2020-07-12,Thomas Jefferson,40-49,195,15,0,Virginia
2020-07-12,Rappahannock Rapidan,60-69,127,17,4,Virginia
2020-07-12,Norfolk,30-39,305,15,1,Virginia
2020-07-12,Rappahannock Rapidan,Missing,8,0,0,Virginia
2020-07-12,Lord Fairfax,80+,154,37,40,Virginia
2020-07-12,Three Rivers,10-19,37,0,0,Virginia
2020-07-12,Piedmont,40-49,201,11,0,Virginia
2020-07-12,Norfolk,80+,44,11,5,Virginia
2020-07-12,Peninsula,20-29,329,1,0,Virginia
2020-07-12,Norfolk,50-59,175,23,3,Virginia
2020-07-12,Thomas Jefferson,50-59,152,12,2,Virginia
2020-07-12,Richmond,70-79,87,37,14,Virginia
2020-07-12,Chesterfield,70-79,133,25,20,Virginia
2020-07-12,Piedmont,30-39,222,5,0,Virginia
2020-07-12,Prince William,30-39,1827,93,2,Virginia
2020-07-12,Alleghany,20-29,117,1,0,Virginia
