County,Cases,Hospitalizations,Deaths,Date,State,Abbr,FIPS
Accomack,1042,72,14,2020-07-06,Virginia,VA,51001
Albemarle,472,36,10,2020-07-06,Virginia,VA,51003
Alleghany,38,5,2,2020-07-06,Virginia,VA,51005
Amelia,46,11,1,2020-07-06,Virginia,VA,51007
Amherst,38,3,0,2020-07-06,Virginia,VA,51009
Appomattox,44,2,0,2020-07-06,Virginia,VA,51011
Arlington,2550,422,131,2020-07-06,Virginia,VA,51013
Augusta,200,7,2,2020-07-06,Virginia,VA,51015
Bath,0,0,0,2020-07-06,Virginia,VA,51017
Bedford,140,2,4,2020-07-06,Virginia,VA,51019
Bland,2,0,0,2020-07-06,Virginia,VA,51021
Botetourt,145,12,4,2020-07-06,Virginia,VA,51023
Brunswick,116,16,1,2020-07-06,Virginia,VA,51025
Buchanan,34,0,0,2020-07-06,Virginia,VA,51027
Buckingham,570,21,5,2020-07-06,Virginia,VA,51029
Campbell,53,3,1,2020-07-06,Virginia,VA,51031
Caroline,129,15,4,2020-07-06,Virginia,VA,51033
Carroll,235,19,9,2020-07-06,Virginia,VA,51035
Charles City,41,14,3,2020-07-06,Virginia,VA,51036
Charlotte,33,4,0,2020-07-06,Virginia,VA,51037
Chesterfield,3059,137,56,2020-07-06,Virginia,VA,51041
Clarke,58,5,0,2020-07-06,Virginia,VA,51043
Craig,9,0,0,2020-07-06,Virginia,VA,51045
Culpeper,829,63,11,2020-07-06,Virginia,VA,51047
Cumberland,58,4,0,2020-07-06,Virginia,VA,51049
Dickenson,5,0,0,2020-07-06,Virginia,VA,51051
Dinwiddie,152,23,2,2020-07-06,Virginia,VA,51053
Essex,59,4,0,2020-07-06,Virginia,VA,51057
Fairfax,14191,1681,495,2020-07-06,Virginia,VA,51059
Fauquier,450,29,8,2020-07-06,Virginia,VA,51061
Floyd,21,2,1,2020-07-06,Virginia,VA,51063
Fluvanna,123,26,8,2020-07-06,Virginia,VA,51065
Franklin County,104,6,1,2020-07-06,Virginia,VA,51067
Frederick,524,42,6,2020-07-06,Virginia,VA,51069
Giles,18,1,0,2020-07-06,Virginia,VA,51071
Gloucester,53,9,1,2020-07-06,Virginia,VA,51073
