Race,Health_District,Date,Cases,Hospitalized,Deaths,State
Asian or Pacific Islander,Chesterfield,2020-07-03,29,1,0,Virginia
Asian or Pacific Islander,Crater,2020-07-03,4,0,0,Virginia
Asian or Pacific Islander,Fairfax,2020-07-03,1108,204,64,Virginia
Asian or Pacific Islander,Hampton,2020-07-03,5,0,0,Virginia
Asian or Pacific Islander,Rappahannock Rapidan,2020-07-03,5,1,0,Virginia
Asian or Pacific Islander,Mount Rogers,2020-07-03,2,1,0,Virginia
Asian or Pacific Islander,New River,2020-07-03,4,0,0,Virginia
Asian or Pacific Islander,Central Virginia,2020-07-03,0,0,0,Virginia
Asian or Pacific Islander,Lord Fairfax,2020-07-03,6,0,0,Virginia
Asian or Pacific Islander,Southside,2020-07-03,1,0,0,Virginia
Asian or Pacific Islander,Alleghany,2020-07-03,3,0,0,Virginia
Asian or Pacific Islander,Portsmouth,2020-07-03,3,2,0,Virginia
Asian or Pacific Islander,Roanoke,2020-07-03,2,0,0,Virginia
Asian or Pacific Islander,Richmond,2020-07-03,7,2,0,Virginia
Asian or Pacific Islander,Thomas Jefferson,2020-07-03,14,0,0,Virginia
Asian or Pacific Islander,Virginia Beach,2020-07-03,63,12,1,Virginia
Asian or Pacific Islander,Henrico,2020-07-03,118,8,3,Virginia
Asian or Pacific Islander,Piedmont,2020-07-03,4,0,0,Virginia
Asian or Pacific Islander,Western Tidewater,2020-07-03,7,1,0,Virginia
Asian or Pacific Islander,West Piedmont,2020-07-03,11,1,1,Virginia
Asian or Pacific Islander,Chickahominy,2020-07-03,4,1,0,Virginia
Asian or Pacific Islander,Peninsula,2020-07-03,10,2,1,Virginia
Asian or Pacific Islander,Norfolk,2020-07-03,13,1,0,Virginia
Asian or Pacific Islander,Arlington,2020-07-03,124,22,12,Virginia
Asian or Pacific Islander,Loudoun,2020-07-03,172,36,8,Virginia
Asian or Pacific Islander,Alexandria,2020-07-03,84,8,1,Virginia
Asian or Pacific Islander,Rappahannock,2020-07-03,40,7,0,Virginia
Asian or Pacific Islander,Chesapeake,2020-07-03,24,4,2,Virginia
Asian or Pacific Islander,Cumberland Plateau and Lenowisco,2020-07-03,1,0,0,Virginia
Asian or Pacific Islander,Central Shenandoah,2020-07-03,16,2,0,Virginia
Asian or Pacific Islander,Prince William,2020-07-03,262,41,11,Virginia
Asian or Pacific Islander,Pittsylvania-Danville,2020-07-03,0,0,0,Virginia
Asian or Pacific Islander,Eastern Shore and Three Rivers,2020-07-03,8,1,0,Virginia
Native American,Piedmont,2020-07-03,1,0,0,Virginia
Native American,New River,2020-07-03,0,0,0,Virginia
Native American,Central Shenandoah,2020-07-03,1,1,0,Virginia
Native American,Eastern Shore and Three Rivers,2020-07-03,1,0,0,Virginia
Native American,Fairfax,2020-07-03,23,1,1,Virginia
Native American,Chesapeake,2020-07-03,8,0,0,Virginia
Native American,Western Tidewater,2020-07-03,0,0,0,Virginia
Native American,Portsmouth,2020-07-03,2,0,0,Virginia
Native American,Richmond,2020-07-03,0,0,0,Virginia
Native American,Chickahominy,2020-07-03,1,1,0,Virginia
Native American,Thomas Jefferson,2020-07-03,2,0,0,Virginia
Native American,Arlington,2020-07-03,2,0,0,Virginia
Native American,Virginia Beach,2020-07-03,0,0,0,Virginia
Native American,Peninsula,2020-07-03,2,0,0,Virginia
Native American,Hampton,2020-07-03,0,0,0,Virginia
Native American,West Piedmont,2020-07-03,0,0,0,Virginia
Native American,"Cumberland Plateau, Lenowisco, and Mount Rogers",2020-07-03,0,0,0,Virginia
Native American,Henrico,2020-07-03,7,0,0,Virginia
Native American,Norfolk,2020-07-03,1,0,0,Virginia
Native American,Prince William,2020-07-03,12,1,0,Virginia
Native American,Central Virginia,2020-07-03,0,0,0,Virginia
Native American,Chesterfield,2020-07-03,3,0,0,Virginia
Native American,Rappahannock,2020-07-03,3,0,0,Virginia
Native American,Loudoun,2020-07-03,1,0,0,Virginia
Native American,Alexandria,2020-07-03,3,0,0,Virginia
Native American,Alleghany and Roanoke,2020-07-03,0,0,0,Virginia
Native American,Crater,2020-07-03,3,0,0,Virginia
Native American,Rappahannock Rapidan,2020-07-03,0,0,0,Virginia
Native American,Lord Fairfax,2020-07-03,2,1,1,Virginia
Native American,Pittsylvania-Danville and Southside,2020-07-03,0,0,0,Virginia
Not Reported,Southside,2020-07-03,183,15,8,Virginia
White,Chesapeake,2020-07-03,327,48,11,Virginia
Other Race,Three Rivers,2020-07-03,6,1,0,Virginia
Other Race,Central Virginia,2020-07-03,1,0,0,Virginia
Two or more races,Central Virginia,2020-07-03,0,0,0,Virginia
White,Cumberland Plateau,2020-07-03,51,2,0,Virginia
Two or more races,Lenowisco,2020-07-03,0,0,0,Virginia
Black,Western Tidewater,2020-07-03,337,49,22,Virginia
Latino,Western Tidewater,2020-07-03,12,1,0,Virginia
Not Reported,Fairfax,2020-07-03,2269,75,50,Virginia
Not Reported,Chesapeake,2020-07-03,126,4,1,Virginia
White,Thomas Jefferson,2020-07-03,370,36,18,Virginia
Two or more races,Cumberland Plateau,2020-07-03,1,0,0,Virginia
Black,Loudoun,2020-07-03,137,19,4,Virginia
Latino,Loudoun,2020-07-03,1005,127,10,Virginia
Latino,Alleghany,2020-07-03,67,5,0,Virginia
Black,Alleghany,2020-07-03,16,2,1,Virginia
Black,Three Rivers,2020-07-03,192,17,3,Virginia
Latino,Three Rivers,2020-07-03,76,3,0,Virginia
Two or more races,Central Shenandoah,2020-07-03,10,1,0,Virginia
Black,Hampton,2020-07-03,166,29,5,Virginia
Latino,Hampton,2020-07-03,36,3,0,Virginia
Other Race,Southside,2020-07-03,6,0,1,Virginia
Other Race,Piedmont,2020-07-03,6,0,0,Virginia
Other Race,Prince William,2020-07-03,224,10,0,Virginia
Other Race,Richmond,2020-07-03,97,9,1,Virginia
Two or more races,Hampton,2020-07-03,3,0,0,Virginia
Latino,Norfolk,2020-07-03,170,15,0,Virginia
Not Reported,Lord Fairfax,2020-07-03,260,3,4,Virginia
Black,Norfolk,2020-07-03,531,76,8,Virginia
Black,Central Virginia,2020-07-03,24,2,1,Virginia
Latino,Rappahannock,2020-07-03,874,81,5,Virginia
Latino,Central Virginia,2020-07-03,25,1,1,Virginia
Black,Rappahannock,2020-07-03,284,46,9,Virginia
White,West Piedmont,2020-07-03,180,13,4,Virginia
Not Reported,Rappahannock,2020-07-03,716,22,1,Virginia
Not Reported,Central Shenandoah,2020-07-03,198,2,1,Virginia
Latino,Chesterfield,2020-07-03,655,29,1,Virginia
Black,Chesterfield,2020-07-03,405,53,14,Virginia
Latino,Central Shenandoah,2020-07-03,781,47,4,Virginia
Latino,Southside,2020-07-03,2,0,0,Virginia
Black,Southside,2020-07-03,111,20,7,Virginia
Black,Central Shenandoah,2020-07-03,92,9,4,Virginia
White,Peninsula,2020-07-03,329,75,23,Virginia
White,Rappahannock Rapidan,2020-07-03,301,30,9,Virginia
Latino,New River,2020-07-03,18,1,0,Virginia
Black,New River,2020-07-03,18,3,0,Virginia
Other Race,Roanoke,2020-07-03,1,0,0,Virginia
Two or more races,Three Rivers,2020-07-03,3,0,0,Virginia
White,Prince William,2020-07-03,863,125,72,Virginia
Two or more races,West Piedmont,2020-07-03,0,0,0,Virginia
Not Reported,New River,2020-07-03,45,0,0,Virginia
Not Reported,Chesterfield,2020-07-03,1419,3,13,Virginia
Two or more races,Crater,2020-07-03,2,0,0,Virginia
White,Lenowisco,2020-07-03,43,16,3,Virginia
White,Western Tidewater,2020-07-03,204,36,29,Virginia
Other Race,Lord Fairfax,2020-07-03,53,5,0,Virginia
Two or more races,Chickahominy,2020-07-03,2,1,0,Virginia
Black,Henrico,2020-07-03,746,125,69,Virginia
Latino,Henrico,2020-07-03,568,40,5,Virginia
White,Alleghany,2020-07-03,224,23,14,Virginia
Black,Peninsula,2020-07-03,259,34,10,Virginia
Latino,Peninsula,2020-07-03,166,12,0,Virginia
Other Race,Loudoun,2020-07-03,114,5,2,Virginia
Not Reported,Arlington,2020-07-03,158,8,3,Virginia
Not Reported,Mount Rogers,2020-07-03,41,1,1,Virginia
White,Portsmouth,2020-07-03,82,10,4,Virginia
Two or more races,Western Tidewater,2020-07-03,2,0,0,Virginia
Not Reported,Thomas Jefferson,2020-07-03,98,0,0,Virginia
Not Reported,Three Rivers,2020-07-03,135,4,0,Virginia
Black,Richmond,2020-07-03,569,122,20,Virginia
Latino,Richmond,2020-07-03,880,71,3,Virginia
Latino,Cumberland Plateau,2020-07-03,0,0,0,Virginia
Other Race,Rappahannock,2020-07-03,44,5,0,Virginia
Black,Cumberland Plateau,2020-07-03,12,0,0,Virginia
Not Reported,Loudoun,2020-07-03,2036,2,2,Virginia
White,Loudoun,2020-07-03,686,90,65,Virginia
Not Reported,Peninsula,2020-07-03,257,1,0,Virginia
White,Henrico,2020-07-03,622,75,78,Virginia
Two or more races,Chesterfield,2020-07-03,5,0,0,Virginia
White,Richmond,2020-07-03,201,19,4,Virginia
Two or more races,Chesapeake,2020-07-03,7,1,0,Virginia
White,Chickahominy,2020-07-03,294,65,28,Virginia
Latino,Lenowisco,2020-07-03,0,0,0,Virginia
Black,Lenowisco,2020-07-03,1,0,0,Virginia
Two or more races,Roanoke,2020-07-03,0,0,0,Virginia
Latino,Piedmont,2020-07-03,58,4,1,Virginia
Black,Piedmont,2020-07-03,349,48,3,Virginia
White,Chesterfield,2020-07-03,506,57,45,Virginia
Two or more races,Lord Fairfax,2020-07-03,11,0,0,Virginia
White,Central Virginia,2020-07-03,88,9,2,Virginia
White,Rappahannock,2020-07-03,546,65,29,Virginia
White,New River,2020-07-03,170,18,5,Virginia
White,Crater,2020-07-03,308,32,8,Virginia
Not Reported,Alleghany,2020-07-03,221,1,0,Virginia
Two or more races,Arlington,2020-07-03,15,2,0,Virginia
Other Race,Portsmouth,2020-07-03,15,2,1,Virginia
White,Piedmont,2020-07-03,304,24,3,Virginia
Two or more races,Alleghany,2020-07-03,2,0,0,Virginia
Black,Crater,2020-07-03,743,111,20,Virginia
Latino,Crater,2020-07-03,120,4,2,Virginia
Two or more races,Piedmont,2020-07-03,4,1,0,Virginia
White,Pittsylvania-Danville,2020-07-03,86,18,3,Virginia
Other Race,Rappahannock Rapidan,2020-07-03,21,2,0,Virginia
Not Reported,Richmond,2020-07-03,505,2,0,Virginia
Two or more races,Henrico,2020-07-03,6,0,0,Virginia
Other Race,Henrico,2020-07-03,69,11,1,Virginia
Two or more races,Loudoun,2020-07-03,24,0,0,Virginia
Two or more races,Rappahannock Rapidan,2020-07-03,11,1,0,Virginia
Latino,Portsmouth,2020-07-03,32,4,0,Virginia
Black,Portsmouth,2020-07-03,259,53,12,Virginia
Not Reported,Portsmouth,2020-07-03,144,1,1,Virginia
Two or more races,Alexandria,2020-07-03,4,1,0,Virginia
Other Race,Virginia Beach,2020-07-03,16,1,0,Virginia
Not Reported,Norfolk,2020-07-03,194,0,0,Virginia
Two or more races,Rappahannock,2020-07-03,11,1,0,Virginia
Black,Arlington,2020-07-03,214,66,29,Virginia
Latino,Arlington,2020-07-03,1235,203,22,Virginia
White,Eastern Shore,2020-07-03,176,15,14,Virginia
Not Reported,Eastern Shore,2020-07-03,84,0,0,Virginia
White,Roanoke,2020-07-03,94,5,8,Virginia
Other Race,Alexandria,2020-07-03,40,5,2,Virginia
Other Race,Cumberland Plateau,2020-07-03,0,0,0,Virginia
Other Race,Western Tidewater,2020-07-03,16,0,2,Virginia
Other Race,Lenowisco,2020-07-03,1,0,0,Virginia
Two or more races,Pittsylvania-Danville,2020-07-03,0,0,0,Virginia
Not Reported,Henrico,2020-07-03,527,2,2,Virginia
Other Race,Crater,2020-07-03,14,0,0,Virginia
Other Race,Chickahominy,2020-07-03,10,3,0,Virginia
Black,Roanoke,2020-07-03,36,7,2,Virginia
Latino,Roanoke,2020-07-03,151,1,0,Virginia
Two or more races,Peninsula,2020-07-03,7,2,0,Virginia
Other Race,Peninsula,2020-07-03,24,1,0,Virginia
Two or more races,Thomas Jefferson,2020-07-03,5,0,0,Virginia
White,Arlington,2020-07-03,720,114,63,Virginia
Two or more races,Norfolk,2020-07-03,1,0,0,Virginia
White,Alexandria,2020-07-03,446,48,32,Virginia
Not Reported,Hampton,2020-07-03,88,0,0,Virginia
White,Mount Rogers,2020-07-03,491,66,29,Virginia
Not Reported,Alexandria,2020-07-03,140,6,0,Virginia
Not Reported,Western Tidewater,2020-07-03,271,2,2,Virginia
Not Reported,Cumberland Plateau,2020-07-03,1,0,0,Virginia
Other Race,Thomas Jefferson,2020-07-03,27,2,1,Virginia
Black,Mount Rogers,2020-07-03,27,5,2,Virginia
Latino,Mount Rogers,2020-07-03,183,1,0,Virginia
