Report Date,Health District,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
5/2/2020,Southside,Not Reported,60,9,2
5/2/2020,Chesapeake,White,93,21,1
5/2/2020,New River,Other,0,0,0
5/2/2020,Norfolk,Black or African American,124,25,1
5/2/2020,Central Shenandoah,Other,124,6,1
5/2/2020,Southside,Other,21,0,2
5/2/2020,Pittsylvania-Danville,Other,0,0,0
5/2/2020,Cumberland Plateau,White,16,2,0
5/2/2020,Rappahannock Rapidan,Black or African American,10,2,0
5/2/2020,Fairfax,Not Reported,1108,65,41
5/2/2020,Chesapeake,Not Reported,52,3,1
5/2/2020,Thomas Jefferson,White,179,23,8
5/2/2020,Richmond,Other,39,8,0
5/2/2020,Peninsula,Black or African American,87,27,7
5/2/2020,Henrico,Other,50,5,3
5/2/2020,Cumberland Plateau,Black or African American,11,0,0
5/2/2020,Loudoun,Other,155,28,2
5/2/2020,Crater,Other,2,0,0
5/2/2020,Arlington,Black or African American,63,19,9
5/2/2020,Alexandria,Black or African American,135,32,4
5/2/2020,Richmond,Black or African American,214,48,15
5/2/2020,Lord Fairfax,Not Reported,44,1,0
5/2/2020,Fairfax,Black or African American,311,80,8
5/2/2020,Thomas Jefferson,Black or African American,93,35,5
5/2/2020,West Piedmont,White,33,4,0
5/2/2020,Rappahannock,Not Reported,206,24,1
5/2/2020,Central Shenandoah,Not Reported,158,1,1
5/2/2020,Peninsula,White,198,63,17
5/2/2020,Rappahannock Rapidan,White,127,13,4
5/2/2020,Prince William,White,464,89,18
5/2/2020,New River,Not Reported,27,1,0
5/2/2020,Chesterfield,Not Reported,278,3,6
5/2/2020,Alleghany,Other,1,0,0
5/2/2020,Lenowisco,White,31,13,1
5/2/2020,Western Tidewater,White,125,17,9
5/2/2020,Arlington,Other,147,54,12
5/2/2020,Piedmont,White,71,3,2
5/2/2020,Cumberland Plateau,Other,0,0,0
5/2/2020,Pittsylvania-Danville,White,23,12,2
5/2/2020,Roanoke,Black or African American,13,3,0
5/2/2020,Alleghany,Black or African American,5,1,0
5/2/2020,Richmond,Not Reported,50,1,0
5/2/2020,Central Virginia,Other,1,0,0
5/2/2020,Rappahannock,Other,70,13,0
5/2/2020,Roanoke,Other,1,0,0
5/2/2020,Piedmont,Black or African American,97,17,1
5/2/2020,Chesterfield,Other,38,0,0
5/2/2020,Portsmouth,Black or African American,85,24,6
5/2/2020,Portsmouth,Not Reported,39,2,1
5/2/2020,Norfolk,Not Reported,20,0,0
5/2/2020,Eastern Shore,White,97,4,1
5/2/2020,Eastern Shore,Not Reported,62,0,0
5/2/2020,Roanoke,White,47,2,0
5/2/2020,Three Rivers,Other,11,1,0
5/2/2020,Fairfax,Other,1453,317,28
5/2/2020,Henrico,Not Reported,133,0,1
5/2/2020,Lord Fairfax,Other,57,4,0
5/2/2020,Piedmont,Other,2,0,0
5/2/2020,Lenowisco,Black or African American,0,0,0
5/2/2020,Arlington,White,202,46,16
5/2/2020,Hampton,Black or African American,74,22,1
5/2/2020,Alexandria,White,299,43,17
5/2/2020,Hampton,Not Reported,23,1,0
5/2/2020,Mount Rogers,White,80,14,4
5/2/2020,Alexandria,Not Reported,287,12,4
5/2/2020,Chickahominy,Black or African American,40,18,5
5/2/2020,Chesapeake,Black or African American,91,32,2
5/2/2020,Western Tidewater,Not Reported,104,1,1
5/2/2020,Cumberland Plateau,Not Reported,0,0,0
5/2/2020,Western Tidewater,Other,14,2,1
5/2/2020,Loudoun,Black or African American,50,6,0
5/2/2020,Virginia Beach,White,219,47,11
5/2/2020,Chickahominy,Other,5,4,0
5/2/2020,New River,Black or African American,6,1,0
5/2/2020,Virginia Beach,Not Reported,57,2,0
5/2/2020,Rappahannock Rapidan,Other,23,9,0
5/2/2020,Piedmont,Not Reported,76,3,0
