Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
5/2/2020,Southside,Not Reported,92,19,7
5/2/2020,Lord Fairfax,Hispanic or Latino,98,12,1
5/2/2020,Eastern Shore,Not Hispanic or Latino,319,20,3
5/2/2020,Portsmouth,Hispanic or Latino,4,2,0
5/2/2020,Fairfax,Not Reported,1207,69,45
5/2/2020,Richmond,Hispanic or Latino,40,5,1
5/2/2020,Chesapeake,Not Reported,87,8,2
5/2/2020,Arlington,Hispanic or Latino,165,50,3
5/2/2020,West Piedmont,Not Hispanic or Latino,35,5,1
5/2/2020,Fairfax,Not Hispanic or Latino,1319,367,101
5/2/2020,Piedmont,Hispanic or Latino,11,0,0
5/2/2020,Crater,Not Hispanic or Latino,94,30,7
5/2/2020,Chickahominy,Not Hispanic or Latino,71,22,9
5/2/2020,New River,Not Hispanic or Latino,44,9,1
5/2/2020,Lord Fairfax,Not Reported,92,2,0
5/2/2020,Rappahannock,Not Reported,213,29,2
5/2/2020,Central Shenandoah,Not Reported,193,2,4
5/2/2020,Central Virginia,Not Hispanic or Latino,38,4,1
5/2/2020,Lenowisco,Not Hispanic or Latino,21,9,1
5/2/2020,Cumberland Plateau,Not Hispanic or Latino,14,2,0
5/2/2020,Western Tidewater,Not Hispanic or Latino,263,45,16
5/2/2020,New River,Not Reported,31,1,0
5/2/2020,Chesterfield,Not Reported,436,19,15
5/2/2020,Chesterfield,Hispanic or Latino,44,1,0
5/2/2020,Hampton,Not Hispanic or Latino,88,26,1
5/2/2020,Chesapeake,Not Hispanic or Latino,163,48,4
5/2/2020,Peninsula,Hispanic or Latino,19,7,1
5/2/2020,Arlington,Not Reported,672,82,14
5/2/2020,Roanoke,Not Hispanic or Latino,49,5,0
5/2/2020,Lord Fairfax,Not Hispanic or Latino,283,28,4
5/2/2020,Eastern Shore,Hispanic or Latino,63,2,2
5/2/2020,Mount Rogers,Not Reported,6,2,0
5/2/2020,Three Rivers,Not Hispanic or Latino,134,15,1
5/2/2020,Thomas Jefferson,Not Reported,27,1,0
5/2/2020,Three Rivers,Not Reported,84,7,1
5/2/2020,Arlington,Not Hispanic or Latino,207,59,29
5/2/2020,Alleghany,Not Hispanic or Latino,75,15,3
5/2/2020,Loudoun,Not Reported,301,7,2
5/2/2020,Fairfax,Hispanic or Latino,1575,257,11
5/2/2020,Peninsula,Not Reported,70,3,3
5/2/2020,Crater,Hispanic or Latino,3,0,0
5/2/2020,Piedmont,Not Hispanic or Latino,136,17,3
5/2/2020,Henrico,Hispanic or Latino,44,11,2
5/2/2020,Alexandria,Not Hispanic or Latino,283,60,18
5/2/2020,Central Virginia,Hispanic or Latino,4,1,0
5/2/2020,Alleghany,Not Reported,39,1,0
5/2/2020,Cumberland Plateau,Hispanic or Latino,0,0,0
5/2/2020,Western Tidewater,Hispanic or Latino,3,0,0
5/2/2020,Chesterfield,Not Hispanic or Latino,184,33,14
5/2/2020,Pittsylvania-Danville,Not Hispanic or Latino,40,16,2
5/2/2020,Mount Rogers,Hispanic or Latino,11,0,0
5/2/2020,Richmond,Not Reported,102,11,1
5/2/2020,Peninsula,Not Hispanic or Latino,268,89,21
5/2/2020,Chesapeake,Hispanic or Latino,13,5,1
5/2/2020,Southside,Hispanic or Latino,1,0,0
5/2/2020,Thomas Jefferson,Not Hispanic or Latino,265,59,13
5/2/2020,Norfolk,Not Hispanic or Latino,161,37,3
5/2/2020,Portsmouth,Not Reported,97,9,1
5/2/2020,Norfolk,Not Reported,32,1,0
5/2/2020,Three Rivers,Hispanic or Latino,17,0,0
5/2/2020,Eastern Shore,Not Reported,65,0,0
5/2/2020,Alleghany,Hispanic or Latino,3,0,0
5/2/2020,Henrico,Not Reported,377,26,26
5/2/2020,Henrico,Not Hispanic or Latino,505,98,76
5/2/2020,Loudoun,Not Hispanic or Latino,345,58,12
5/2/2020,Hampton,Not Reported,29,2,0
5/2/2020,Rappahannock Rapidan,Not Hispanic or Latino,68,10,3
5/2/2020,Alexandria,Not Reported,217,7,4
5/2/2020,Rappahannock,Not Hispanic or Latino,184,42,9
5/2/2020,Western Tidewater,Not Reported,159,2,1
5/2/2020,Cumberland Plateau,Not Reported,13,0,0
5/2/2020,Alexandria,Hispanic or Latino,348,41,4
5/2/2020,Virginia Beach,Not Hispanic or Latino,303,67,14
5/2/2020,Prince William,Hispanic or Latino,652,117,4
5/2/2020,Virginia Beach,Not Reported,90,9,0
5/2/2020,Central Shenandoah,Hispanic or Latino,299,14,1
5/2/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0
5/2/2020,Mount Rogers,Not Hispanic or Latino,72,14,4
5/2/2020,Piedmont,Not Reported,99,6,0
5/2/2020,Southside,Not Hispanic or Latino,45,6,3
5/2/2020,Thomas Jefferson,Hispanic or Latino,11,0,0
5/2/2020,Pittsylvania-Danville,Not Reported,11,4,0
5/2/2020,Norfolk,Hispanic or Latino,18,4,0
5/2/2020,Portsmouth,Not Hispanic or Latino,72,23,7
5/2/2020,West Piedmont,Not Reported,8,1,0
5/2/2020,Richmond,Not Hispanic or Latino,240,50,14
5/2/2020,West Piedmont,Hispanic or Latino,2,0,0
5/2/2020,Prince William,Not Reported,1130,10,0
5/2/2020,Rappahannock Rapidan,Not Reported,153,5,1
5/2/2020,Chickahominy,Hispanic or Latino,2,1,0
5/2/2020,Lenowisco,Not Reported,20,5,1
5/2/2020,New River,Hispanic or Latino,0,0,0
5/2/2020,Crater,Not Reported,115,26,5
5/2/2020,Chickahominy,Not Reported,174,28,8
5/2/2020,Loudoun,Hispanic or Latino,235,30,2
5/2/2020,Rappahannock Rapidan,Hispanic or Latino,142,13,1
5/2/2020,Roanoke,Not Reported,27,0,0
5/2/2020,Rappahannock,Hispanic or Latino,138,24,0
5/2/2020,Lenowisco,Hispanic or Latino,0,0,0
5/2/2020,Virginia Beach,Hispanic or Latino,20,5,1
5/2/2020,Prince William,Not Hispanic or Latino,452,92,28
5/2/2020,Central Virginia,Not Reported,100,3,0
5/2/2020,Central Shenandoah,Not Hispanic or Latino,329,30,12
5/2/2020,Hampton,Hispanic or Latino,5,0,0
5/2/2020,Roanoke,Hispanic or Latino,4,0,0
