Date,Health_District,Sex,Cases,Hospitalized,Deaths,State
2020-06-29,Southside,Not Reported,4,0,0,Virginia
2020-06-29,Chesapeake,Female,509,69,9,Virginia
2020-06-29,Richmond,Female,1056,98,8,Virginia
2020-06-29,Roanoke,Male,203,7,2,Virginia
2020-06-29,Fairfax,Not Reported,117,3,3,Virginia
2020-06-29,Thomas Jefferson,Female,491,46,10,Virginia
2020-06-29,Chesapeake,Not Reported,1,0,0,Virginia
2020-06-29,Cumberland Plateau,Male,25,1,0,Virginia
2020-06-29,Eastern Shore,Female,658,58,23,Virginia
2020-06-29,Lord Fairfax,Not Reported,8,0,0,Virginia
2020-06-29,Rappahannock,Not Reported,9,1,0,Virginia
2020-06-29,Central Shenandoah,Not Reported,1,0,0,Virginia
2020-06-29,Peninsula,Male,456,64,13,Virginia
2020-06-29,Norfolk,Male,454,54,7,Virginia
2020-06-29,Alexandria,Female,1190,107,30,Virginia
2020-06-29,Lenowisco,Male,26,8,3,Virginia
2020-06-29,Pittsylvania-Danville,Female,115,21,2,Virginia
2020-06-29,New River,Not Reported,3,0,0,Virginia
2020-06-29,Chesterfield,Not Reported,77,0,2,Virginia
2020-06-29,Loudoun,Male,1972,151,32,Virginia
2020-06-29,Rappahannock Rapidan,Female,708,43,7,Virginia
2020-06-29,Piedmont,Female,297,41,3,Virginia
2020-06-29,Richmond,Male,1114,120,20,Virginia
2020-06-29,Crater,Female,609,79,19,Virginia
2020-06-29,Portsmouth,Female,229,40,10,Virginia
2020-06-29,Arlington,Not Reported,1,0,0,Virginia
2020-06-29,Mount Rogers,Not Reported,2,0,0,Virginia
2020-06-29,Thomas Jefferson,Not Reported,2,0,0,Virginia
2020-06-29,Three Rivers,Not Reported,18,0,0,Virginia
2020-06-29,Hampton,Male,149,26,3,Virginia
2020-06-29,Alleghany,Male,226,21,5,Virginia
2020-06-29,Roanoke,Female,230,7,7,Virginia
2020-06-29,Loudoun,Not Reported,17,0,1,Virginia
2020-06-29,Fairfax,Female,7048,708,250,Virginia
2020-06-29,Western Tidewater,Male,392,51,28,Virginia
2020-06-29,Peninsula,Not Reported,4,0,0,Virginia
2020-06-29,New River,Male,118,14,4,Virginia
2020-06-29,Central Shenandoah,Male,948,80,17,Virginia
2020-06-29,Southside,Male,161,24,11,Virginia
2020-06-29,Chesterfield,Male,1533,70,34,Virginia
2020-06-29,Arlington,Female,1224,190,64,Virginia
2020-06-29,Rappahannock,Male,1149,121,26,Virginia
2020-06-29,Central Virginia,Male,205,9,4,Virginia
2020-06-29,Alleghany,Not Reported,3,0,0,Virginia
2020-06-29,Henrico,Male,1161,134,69,Virginia
2020-06-29,Thomas Jefferson,Male,433,42,10,Virginia
2020-06-29,Lord Fairfax,Male,946,90,34,Virginia
2020-06-29,Three Rivers,Male,429,19,2,Virginia
2020-06-29,Richmond,Not Reported,39,2,2,Virginia
2020-06-29,Pittsylvania-Danville,Male,91,20,1,Virginia
2020-06-29,Portsmouth,Not Reported,3,0,0,Virginia
2020-06-29,Norfolk,Not Reported,0,0,0,Virginia
2020-06-29,Chesapeake,Male,385,61,11,Virginia
2020-06-29,Chickahominy,Female,353,53,17,Virginia
2020-06-29,Prince William,Male,4532,438,96,Virginia
2020-06-29,Eastern Shore,Not Reported,9,0,0,Virginia
2020-06-29,Eastern Shore,Male,644,53,19,Virginia
2020-06-29,Rappahannock Rapidan,Male,730,64,12,Virginia
2020-06-29,Henrico,Not Reported,8,0,1,Virginia
2020-06-29,Cumberland Plateau,Female,37,1,0,Virginia
2020-06-29,West Piedmont,Male,222,20,4,Virginia
2020-06-29,Hampton,Not Reported,2,0,0,Virginia
2020-06-29,Alexandria,Not Reported,6,0,0,Virginia
2020-06-29,Western Tidewater,Not Reported,2,0,0,Virginia
2020-06-29,Cumberland Plateau,Not Reported,0,0,0,Virginia
2020-06-29,Virginia Beach,Male,537,63,15,Virginia
2020-06-29,Alleghany,Female,257,10,10,Virginia
2020-06-29,Lenowisco,Female,27,9,1,Virginia
2020-06-29,Virginia Beach,Not Reported,8,0,0,Virginia
2020-06-29,Western Tidewater,Female,406,32,20,Virginia
2020-06-29,Mount Rogers,Male,316,48,16,Virginia
2020-06-29,Lord Fairfax,Female,1020,84,33,Virginia
2020-06-29,Piedmont,Not Reported,1,0,0,Virginia
2020-06-29,Alexandria,Male,1129,131,27,Virginia
2020-06-29,Pittsylvania-Danville,Not Reported,2,0,0,Virginia
2020-06-29,West Piedmont,Not Reported,5,0,0,Virginia
2020-06-29,Loudoun,Female,2011,124,54,Virginia
2020-06-29,Hampton,Female,177,15,2,Virginia
2020-06-29,Henrico,Female,1422,120,71,Virginia
2020-06-29,Prince William,Not Reported,68,1,0,Virginia
2020-06-29,Chickahominy,Male,286,54,19,Virginia
2020-06-29,Rappahannock Rapidan,Not Reported,2,1,1,Virginia
2020-06-29,Peninsula,Female,520,62,21,Virginia
2020-06-29,Lenowisco,Not Reported,0,0,0,Virginia
2020-06-29,Crater,Not Reported,14,1,0,Virginia
2020-06-29,Chickahominy,Not Reported,5,0,0,Virginia
2020-06-29,Portsmouth,Male,250,28,6,Virginia
2020-06-29,New River,Female,112,8,1,Virginia
2020-06-29,Rappahannock,Female,1294,99,16,Virginia
2020-06-29,Central Virginia,Female,181,7,1,Virginia
2020-06-29,Roanoke,Not Reported,6,0,0,Virginia
2020-06-29,West Piedmont,Female,245,20,3,Virginia
2020-06-29,Mount Rogers,Female,389,24,13,Virginia
2020-06-29,Piedmont,Male,713,45,7,Virginia
2020-06-29,Chesterfield,Female,1512,65,33,Virginia
2020-06-29,Fairfax,Male,6811,920,250,Virginia
2020-06-29,Crater,Male,869,68,11,Virginia
2020-06-29,Central Virginia,Not Reported,0,0,0,Virginia
2020-06-29,Prince William,Female,4513,360,70,Virginia
2020-06-29,Virginia Beach,Female,631,55,14,Virginia
2020-06-29,Norfolk,Female,461,51,2,Virginia
2020-06-29,Three Rivers,Female,200,31,7,Virginia
2020-06-29,Arlington,Male,1254,228,68,Virginia
2020-06-29,Central Shenandoah,Female,1108,86,19,Virginia
2020-06-29,Southside,Female,231,24,17,Virginia
2020-06-28,Southside,Not Reported,4,0,0,Virginia
2020-06-28,Chesapeake,Female,503,69,9,Virginia
2020-06-28,Richmond,Female,1049,98,8,Virginia
2020-06-28,Roanoke,Male,179,7,2,Virginia
2020-06-28,Fairfax,Not Reported,121,3,3,Virginia
2020-06-28,Thomas Jefferson,Female,484,46,9,Virginia
2020-06-28,Chesapeake,Not Reported,1,0,0,Virginia
2020-06-28,Cumberland Plateau,Male,25,1,0,Virginia
2020-06-28,Eastern Shore,Female,656,58,23,Virginia
2020-06-28,Lord Fairfax,Not Reported,8,0,0,Virginia
2020-06-28,Rappahannock,Not Reported,11,1,0,Virginia
2020-06-28,Central Shenandoah,Not Reported,1,0,0,Virginia
2020-06-28,Peninsula,Male,449,64,13,Virginia
2020-06-28,Norfolk,Male,441,54,7,Virginia
2020-06-28,Alexandria,Female,1184,107,30,Virginia
2020-06-28,Lenowisco,Male,25,8,3,Virginia
2020-06-28,Pittsylvania-Danville,Female,107,21,2,Virginia
2020-06-28,New River,Not Reported,3,0,0,Virginia
2020-06-28,Chesterfield,Not Reported,77,0,2,Virginia
2020-06-28,Loudoun,Male,1958,149,32,Virginia
2020-06-28,Rappahannock Rapidan,Female,707,43,7,Virginia
2020-06-28,Piedmont,Female,295,40,3,Virginia
2020-06-28,Richmond,Male,1107,118,20,Virginia
2020-06-28,Crater,Female,599,79,19,Virginia
2020-06-28,Portsmouth,Female,225,40,10,Virginia
2020-06-28,Arlington,Not Reported,1,0,0,Virginia
2020-06-28,Mount Rogers,Not Reported,2,0,0,Virginia
2020-06-28,Thomas Jefferson,Not Reported,2,0,0,Virginia
2020-06-28,Three Rivers,Not Reported,18,0,0,Virginia
2020-06-28,Hampton,Male,147,26,3,Virginia
2020-06-28,Alleghany,Male,195,21,5,Virginia
2020-06-28,Roanoke,Female,218,7,8,Virginia
2020-06-28,Loudoun,Not Reported,17,0,1,Virginia
2020-06-28,Fairfax,Female,7050,707,244,Virginia
2020-06-28,Western Tidewater,Male,385,51,27,Virginia
2020-06-28,Peninsula,Not Reported,3,0,0,Virginia
2020-06-28,New River,Male,117,14,4,Virginia
2020-06-28,Central Shenandoah,Male,938,79,17,Virginia
2020-06-28,Southside,Male,159,24,11,Virginia
2020-06-28,Chesterfield,Male,1514,70,33,Virginia
2020-06-28,Arlington,Female,1220,190,64,Virginia
2020-06-28,Rappahannock,Male,1148,121,26,Virginia
2020-06-28,Central Virginia,Male,196,9,4,Virginia
2020-06-28,Alleghany,Not Reported,3,0,0,Virginia
2020-06-28,Henrico,Male,1156,132,69,Virginia
2020-06-28,Thomas Jefferson,Male,430,42,10,Virginia
2020-06-28,Lord Fairfax,Male,941,89,33,Virginia
