Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
4/30/2020,Pittsylvania-Danville,48,19,2
4/30/2020,Peninsula,346,98,21
4/30/2020,Eastern Shore,328,21,4
4/30/2020,Lenowisco,40,14,2
4/30/2020,Cumberland Plateau,25,1,0
4/30/2020,Piedmont,158,21,3
4/30/2020,Southside,132,24,10
4/30/2020,Alexandria,754,97,21
4/30/2020,Henrico,876,126,100
4/30/2020,Hampton,115,28,1
4/30/2020,Alleghany,114,16,3
4/30/2020,Richmond,339,63,15
4/30/2020,Chesapeake,242,57,6
4/30/2020,Crater,201,54,12
4/30/2020,Roanoke,73,5,0
4/30/2020,Portsmouth,158,33,5
4/30/2020,Central Shenandoah,749,44,13
4/30/2020,New River,74,8,1
4/30/2020,Loudoun,746,90,15
4/30/2020,Central Virginia,127,7,1
4/30/2020,Chickahominy,230,49,15
4/30/2020,Rappahannock Rapidan,302,25,5
4/30/2020,Norfolk,198,40,3
4/30/2020,Arlington,967,167,41
4/30/2020,Prince William,1922,205,27
4/30/2020,Thomas Jefferson,293,59,13
4/30/2020,Rappahannock,475,91,10
4/30/2020,Three Rivers,225,16,2
4/30/2020,Chesterfield,598,45,25
4/30/2020,Lord Fairfax,410,41,4
4/30/2020,Fairfax,3664,613,138
4/30/2020,Virginia Beach,385,77,14
4/30/2020,Mount Rogers,78,16,4
4/30/2020,West Piedmont,41,6,1
4/30/2020,Western Tidewater,413,46,15
