Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
4/24/2020,Pittsylvania-Danville,42,17,2
4/24/2020,Peninsula,320,96,20
4/24/2020,Eastern Shore,115,18,3
4/24/2020,Lenowisco,35,12,2
4/24/2020,Cumberland Plateau,18,1,0
4/24/2020,Piedmont,111,17,3
4/24/2020,Southside,104,23,7
4/24/2020,Alexandria,547,81,15
4/24/2020,Henrico,729,107,86
4/24/2020,Hampton,99,26,1
4/24/2020,Alleghany,82,14,3
4/24/2020,Richmond,267,51,14
4/24/2020,Chesapeake,197,43,5
4/24/2020,Crater,167,35,9
4/24/2020,Roanoke,33,5,0
4/24/2020,Portsmouth,100,30,4
4/24/2020,Central Shenandoah,599,39,11
4/24/2020,New River,67,8,0
4/24/2020,Loudoun,529,67,10
4/24/2020,Central Virginia,102,7,1
4/24/2020,Chickahominy,201,40,12
4/24/2020,Rappahannock Rapidan,200,21,3
4/24/2020,Norfolk,141,31,3
4/24/2020,Arlington,722,120,24
4/24/2020,Prince William,1291,138,20
4/24/2020,Thomas Jefferson,244,49,11
4/24/2020,Rappahannock,355,75,9
4/24/2020,Three Rivers,122,11,1
4/24/2020,Chesterfield,473,38,20
4/24/2020,Lord Fairfax,256,31,0
4/24/2020,Fairfax,2584,460,89
4/24/2020,Virginia Beach,331,65,10
4/24/2020,Mount Rogers,59,15,4
4/24/2020,West Piedmont,33,5,1
4/24/2020,Western Tidewater,319,41,7
