County,Cases,Deaths,Recovered,Tests,Date,State,Abbr,FIPS
Barbour,7,1,4,584,2020-05-21,West Virginia,WV,54001
Berkeley,272,6,152,4314,2020-05-21,West Virginia,WV,54003
Boone,9,0,1,934,2020-05-21,West Virginia,WV,54005
Braxton,2,0,2,306,2020-05-21,West Virginia,WV,54007
Brooke,3,0,3,1008,2020-05-21,West Virginia,WV,54009
Cabell,61,0,51,6658,2020-05-21,West Virginia,WV,54011
Calhoun,2,0,1,645,2020-05-21,West Virginia,WV,54013
Clay,2,0,2,456,2020-05-21,West Virginia,WV,54015
Doddridge,0,0,0,276,2020-05-21,West Virginia,WV,54017
Fayette,44,3,17,2570,2020-05-21,West Virginia,WV,54019
Gilmer,9,0,9,269,2020-05-21,West Virginia,WV,54021
Grant,8,0,4,336,2020-05-21,West Virginia,WV,54023
Greenbrier,9,0,7,1703,2020-05-21,West Virginia,WV,54025
Hampshire,13,1,9,541,2020-05-21,West Virginia,WV,54027
Hancock,19,0,16,2800,2020-05-21,West Virginia,WV,54029
Hardy,35,0,9,690,2020-05-21,West Virginia,WV,54031
Harrison,40,1,20,3125,2020-05-21,West Virginia,WV,54033
Jackson,135,18,114,1151,2020-05-21,West Virginia,WV,54035
Jefferson,146,1,80,2752,2020-05-21,West Virginia,WV,54037
Kanawha,216,18,113,7173,2020-05-21,West Virginia,WV,54039
Lewis,5,1,4,669,2020-05-21,West Virginia,WV,54041
Lincoln,5,0,4,922,2020-05-21,West Virginia,WV,54043
Logan,16,1,12,1505,2020-05-21,West Virginia,WV,54045
Marion,48,2,43,2984,2020-05-21,West Virginia,WV,54049
Marshall,27,0,18,1782,2020-05-21,West Virginia,WV,54051
Mason,15,0,14,1014,2020-05-21,West Virginia,WV,54053
McDowell,6,0,5,841,2020-05-21,West Virginia,WV,54047
Mercer,13,0,10,2221,2020-05-21,West Virginia,WV,54055
Mineral,40,0,24,1097,2020-05-21,West Virginia,WV,54057
Mingo,5,1,2,605,2020-05-21,West Virginia,WV,54059
Monongalia,121,5,91,4835,2020-05-21,West Virginia,WV,54061
Monroe,8,0,6,507,2020-05-21,West Virginia,WV,54063
Morgan,17,0,15,555,2020-05-21,West Virginia,WV,54065
Nicholas,10,1,5,1061,2020-05-21,West Virginia,WV,54067
Ohio,38,1,35,4799,2020-05-21,West Virginia,WV,54069
Pendleton,8,0,3,537,2020-05-21,West Virginia,WV,54071
Pleasants,5,0,2,228,2020-05-21,West Virginia,WV,54073
Pocahontas,24,0,4,373,2020-05-21,West Virginia,WV,54075
Preston,23,0,10,1325,2020-05-21,West Virginia,WV,54077
Putnam,31,0,17,1138,2020-05-21,West Virginia,WV,54079
Raleigh,16,0,6,3319,2020-05-21,West Virginia,WV,54081
Randolph,28,0,4,1487,2020-05-21,West Virginia,WV,54083
Ritchie,1,0,0,287,2020-05-21,West Virginia,WV,54085
Roane,8,0,8,668,2020-05-21,West Virginia,WV,54087
Summers,3,0,1,448,2020-05-21,West Virginia,WV,54089
Taylor,8,0,8,1257,2020-05-21,West Virginia,WV,54091
Tucker,4,0,2,359,2020-05-21,West Virginia,WV,54093
Tyler,3,0,3,324,2020-05-21,West Virginia,WV,54095
Upshur,8,0,6,639,2020-05-21,West Virginia,WV,54097
Wayne,97,9,83,1722,2020-05-21,West Virginia,WV,54099
Webster,0,0,0,438,2020-05-21,West Virginia,WV,54101
Wetzel,8,0,7,498,2020-05-21,West Virginia,WV,54103
Wirt,4,0,3,128,2020-05-21,West Virginia,WV,54105
Wood,54,2,36,3044,2020-05-21,West Virginia,WV,54107
Wyoming,3,0,2,840,2020-05-21,West Virginia,WV,54109
Barbour,7,1,NA,NA,2020-05-20,West Virginia,WV,54001
Berkeley,251,6,NA,NA,2020-05-20,West Virginia,WV,54003
Boone,9,0,NA,NA,2020-05-20,West Virginia,WV,54005
Braxton,2,0,NA,NA,2020-05-20,West Virginia,WV,54007
Brooke,3,0,NA,NA,2020-05-20,West Virginia,WV,54009
Cabell,56,0,NA,NA,2020-05-20,West Virginia,WV,54011
Calhoun,2,0,NA,NA,2020-05-20,West Virginia,WV,54013
Clay,2,0,NA,NA,2020-05-20,West Virginia,WV,54015
Fayette,39,3,NA,NA,2020-05-20,West Virginia,WV,54019
Gilmer,9,0,NA,NA,2020-05-20,West Virginia,WV,54021
Grant,6,0,NA,NA,2020-05-20,West Virginia,WV,54023
Greenbrier,9,0,NA,NA,2020-05-20,West Virginia,WV,54025
Hampshire,13,1,NA,NA,2020-05-20,West Virginia,WV,54027
Hancock,13,0,NA,NA,2020-05-20,West Virginia,WV,54029
Hardy,34,0,NA,NA,2020-05-20,West Virginia,WV,54031
Harrison,37,1,NA,NA,2020-05-20,West Virginia,WV,54033
Jackson,135,18,NA,NA,2020-05-20,West Virginia,WV,54035
