State,County,Cases,Deaths,Tests,Date
District of Columbia,NA,9016,473,49562,2020-06-02
Maryland,NA,54982,2641,327625,2020-06-02
NA,Calvert,348,20,NA,2020-06-02
NA,Frederick,2005,109,NA,2020-06-02
NA,Montgomery,11924,633,NA,2020-06-02
NA,Prince Georges,15738,565,NA,2020-06-02
Virginia,NA,46905,1428,381539,2020-06-02
NA,Arlington,2142,120,NA,2020-06-02
NA,Culpeper,727,8,NA,2020-06-02
NA,Fairfax,11596,396,NA,2020-06-02
NA,Loudoun,2659,67,NA,2020-06-02
NA,Prince William,5837,109,NA,2020-06-02
District of Columbia,NA,8886,470,47701,2020-06-01
Maryland,NA,54175,2597,315815,2020-06-01
NA,Calvert,352,18,NA,2020-06-01
NA,Frederick,1961,107,NA,2020-06-01
NA,Montgomery,11731,624,NA,2020-06-01
NA,Prince Georges,15553,552,NA,2020-06-01
Virginia,NA,46239,1407,369308,2020-06-01
NA,Arlington,2133,117,NA,2020-06-01
NA,Culpeper,720,8,NA,2020-06-01
NA,Fairfax,11426,391,NA,2020-06-01
NA,Loudoun,2636,67,NA,2020-06-01
NA,Prince William,5724,104,NA,2020-06-01
District of Columbia,NA,8857,468,47263,2020-05-31
Maryland,NA,53327,2552,308730,2020-05-31
NA,Calvert,349,18,NA,2020-05-31
NA,Frederick,1928,106,NA,2020-05-31
NA,Montgomery,11476,616,NA,2020-05-31
NA,Prince Georges,15353,545,NA,2020-05-31
Virginia,NA,45398,1392,362534,2020-05-31
NA,Arlington,2123,116,NA,2020-05-31
NA,Culpeper,713,6,NA,2020-05-31
NA,Fairfax,11219,387,NA,2020-05-31
NA,Loudoun,2611,66,NA,2020-05-31
NA,Prince William,5663,104,NA,2020-05-31
District of Columbia,NA,8801,466,46483,2020-05-30
Maryland,NA,52778,2532,301881,2020-05-30
NA,Calvert,341,18,NA,2020-05-30
NA,Frederick,1911,105,NA,2020-05-30
NA,Montgomery,11361,612,NA,2020-05-30
NA,Prince Georges,15220,541,NA,2020-05-30
Virginia,NA,44607,1375,352707,2020-05-30
NA,Arlington,2116,115,NA,2020-05-30
NA,Culpeper,691,6,NA,2020-05-30
NA,Fairfax,11110,383,NA,2020-05-30
NA,Loudoun,2575,62,NA,2020-05-30
NA,Prince William,5533,104,NA,2020-05-30
District of Columbia,NA,8717,462,45629,2020-05-29
Maryland,NA,52015,2509,293946,2020-05-29
NA,Calvert,334,18,NA,2020-05-29
NA,Frederick,1890,105,NA,2020-05-29
NA,Montgomery,11251,605,NA,2020-05-29
NA,Prince Georges,15022,539,NA,2020-05-29
Virginia,NA,43611,1370,340856,2020-05-29
NA,Arlington,2107,113,NA,2020-05-29
NA,Culpeper,674,6,NA,2020-05-29
NA,Fairfax,10906,383,NA,2020-05-29
NA,Loudoun,2529,62,NA,2020-05-29
NA,Prince William,5412,104,NA,2020-05-29
District of Columbia,NA,8538,460,43858,2020-05-28
Maryland,NA,50988,2466,284518,2020-05-28
NA,Calvert,329,17,NA,2020-05-28
NA,Frederick,1856,105,NA,2020-05-28
NA,Montgomery,11035,595,NA,2020-05-28
NA,Prince Georges,14773,530,NA,2020-05-28
Virginia,NA,42533,1358,332330,2020-05-28
NA,Arlington,2089,111,NA,2020-05-28
NA,Culpeper,666,6,NA,2020-05-28
NA,Fairfax,10738,378,NA,2020-05-28
NA,Loudoun,2429,62,NA,2020-05-28
NA,Prince William,5270,101,NA,2020-05-28
District of Columbia,NA,8492,453,43514,2020-05-27
Maryland,NA,49709,2428,274858,2020-05-27
NA,Calvert,320,17,NA,2020-05-27
NA,Frederick,1824,104,NA,2020-05-27
NA,Montgomery,10752,581,NA,2020-05-27
NA,Prince Georges,14508,530,NA,2020-05-27
Virginia,NA,41401,1338,319600,2020-05-27
NA,Arlington,2039,109,NA,2020-05-27
NA,Culpeper,656,5,NA,2020-05-27
NA,Fairfax,10503,371,NA,2020-05-27
NA,Loudoun,2318,63,NA,2020-05-27
NA,Prince William,5157,101,NA,2020-05-27
District of Columbia,NA,8406,445,42697,2020-05-26
Maryland,NA,48423,2392,262055,2020-05-26
NA,Calvert,314,18,NA,2020-05-26
NA,Frederick,1786,103,NA,2020-05-26
NA,Montgomery,10467,572,NA,2020-05-26
NA,Prince Georges,14100,520,NA,2020-05-26
Virginia,NA,40249,1281,308153,2020-05-26
NA,Arlington,1988,109,NA,2020-05-26
NA,Culpeper,645,5,NA,2020-05-26
NA,Fairfax,10069,364,NA,2020-05-26
NA,Loudoun,2274,53,NA,2020-05-26
NA,Prince William,5074,99,NA,2020-05-26
District of Columbia,NA,8334,440,42055,2020-05-25
Maryland,NA,47687,2333,254487,2020-05-25
NA,Calvert,308,16,NA,2020-05-25
NA,Frederick,1746,101,NA,2020-05-25
NA,Montgomery,10291,567,NA,2020-05-25
NA,Prince Georges,13819,506,NA,2020-05-25
Virginia,NA,39342,1236,298270,2020-05-25
NA,Arlington,1935,104,NA,2020-05-25
NA,Culpeper,638,6,NA,2020-05-25
NA,Fairfax,9839,340,NA,2020-05-25
NA,Loudoun,2186,52,NA,2020-05-25
NA,Prince William,4992,96,NA,2020-05-25
District of Columbia,NA,8225,440,40803,2020-05-24
Maryland,NA,47152,2302,249577,2020-05-24
NA,Calvert,307,16,NA,2020-05-24
NA,Frederick,1731,99,NA,2020-05-24
NA,Montgomery,10111,562,NA,2020-05-24
NA,Prince Georges,13726,497,NA,2020-05-24
Virginia,NA,37727,1208,289579,2020-05-24
NA,Arlington,1897,101,NA,2020-05-24
NA,Culpeper,614,5,NA,2020-05-24
NA,Fairfax,9482,331,NA,2020-05-24
NA,Loudoun,2047,52,NA,2020-05-24
NA,Prince William,4702,94,NA,2020-05-24
District of Columbia,NA,8110,432,40003,2020-05-23
Maryland,NA,46313,2277,240362,2020-05-23
NA,Calvert,304,15,NA,2020-05-23
NA,Frederick,1696,98,NA,2020-05-23
NA,Montgomery,9922,558,NA,2020-05-23
NA,Prince Georges,13521,490,NA,2020-05-23
Virginia,NA,36244,1171,272333,2020-05-23
NA,Arlington,1873,98,NA,2020-05-23
NA,Culpeper,594,5,NA,2020-05-23
NA,Fairfax,8989,327,NA,2020-05-23
NA,Loudoun,1821,52,NA,2020-05-23
NA,Prince William,4468,84,NA,2020-05-23
District of Columbia,NA,7966,427,38928,2020-05-22
Maryland,NA,45495,2243,232327,2020-05-22
NA,Calvert,298,15,NA,2020-05-22
NA,Frederick,1661,96,NA,2020-05-22
NA,Montgomery,9699,550,NA,2020-05-22
NA,Prince Georges,13324,484,NA,2020-05-22
Virginia,NA,35749,1159,258163,2020-05-22
NA,Arlington,1804,95,NA,2020-05-22
NA,Culpeper,574,5,NA,2020-05-22
NA,Fairfax,8945,326,NA,2020-05-22
NA,Loudoun,1831,52,NA,2020-05-22
NA,Prince William,4408,84,NA,2020-05-22
District of Columbia,NA,7893,418,42993,2020-05-21
Maryland,NA,44424,2207,227902,2020-05-21
NA,Calvert,291,15,NA,2020-05-21
NA,Frederick,1625,95,NA,2020-05-21
NA,Montgomery,9432,540,NA,2020-05-21
NA,Prince Georges,13077,477,NA,2020-05-21
Virginia,NA,34950,1136,249940,2020-05-21
NA,Arlington,1795,91,NA,2020-05-21
NA,Culpeper,555,5,NA,2020-05-21
NA,Fairfax,8734,321,NA,2020-05-21
NA,Loudoun,1807,51,NA,2020-05-21
NA,Prince William,4315,80,NA,2020-05-21
District of Columbia,NA,7788,412,41756,2020-05-20
Maryland,NA,43531,2159,220233,2020-05-20
NA,Calvert,278,15,NA,2020-05-20
NA,Frederick,1568,94,NA,2020-05-20
NA,Montgomery,9260,528,NA,2020-05-20
NA,Prince Georges,12830,466,NA,2020-05-20
Virginia,NA,34137,1099,241957,2020-05-20
NA,Arlington,1763,89,NA,2020-05-20
NA,Culpeper,526,5,NA,2020-05-20
NA,Fairfax,8580,309,NA,2020-05-20
NA,Loudoun,1700,49,NA,2020-05-20
NA,Prince William,4183,79,NA,2020-05-20
District of Columbia,NA,7551,407,40419,2020-05-19
Maryland,NA,42323,2123,215330,2020-05-19
NA,Calvert,259,14,NA,2020-05-19
NA,Frederick,1533,93,NA,2020-05-19
NA,Montgomery,9052,515,NA,2020-05-19
NA,Prince Georges,12446,453,NA,2020-05-19
Virginia,NA,32908,1074,235199,2020-05-19
NA,Arlington,1728,81,NA,2020-05-19
NA,Culpeper,494,5,NA,2020-05-19
NA,Fairfax,8163,302,NA,2020-05-19
NA,Loudoun,1579,49,NA,2020-05-19
NA,Prince William,4054,79,NA,2020-05-19
District of Columbia,NA,7434,400,39374,2020-05-18
Maryland,NA,41546,2081,208658,2020-05-18
NA,Calvert,255,13,NA,2020-05-18
NA,Frederick,1491,90,NA,2020-05-18
NA,Montgomery,8950,503,NA,2020-05-18
NA,Prince Georges,12240,445,NA,2020-05-18
Virginia,NA,32145,1041,224951,2020-05-18
NA,Arlington,1688,79,NA,2020-05-18
