peopletestedoverall,phlpositives,commerciallabpositives,phlnegatives,commerciallabnegatives,phltestsinprogress,deaths,peoplewhohaverecovered,otherdata,X.,positiveresults,Date,State,County
3759,76,419,204,3058,2,9,121,NA,NA,NA,2020-03-30,District of Columbia,District of Columbia
3085,63,338,178,2504,2,9,106,NA,NA,NA,2020-03-29,District of Columbia,District of Columbia
2812,58,284,168,2301,1,5,66,NA,NA,NA,2020-03-28,District of Columbia,District of Columbia
2516,47,257,168,2043,1,4,51,NA,NA,NA,2020-03-27,District of Columbia,District of Columbia
2166,43,224,140,1757,2,3,49,NA,NA,NA,2020-03-26,District of Columbia,District of Columbia
1858,38,193,123,1503,1,3,21,NA,NA,NA,2020-03-25,District of Columbia,District of Columbia
1609,37,146,118,1305,3,2,17,NA,NA,NA,2020-03-24,District of Columbia,District of Columbia
1334,36,101,116,1079,2,2,17,NA,NA,NA,2020-03-23,District of Columbia,District of Columbia
1229,35,81,110,1003,0,2,NA,NA,NA,NA,2020-03-22,District of Columbia,District of Columbia
1055,32,66,108,849,0,NA,NA,NA,NA,NA,2020-03-21,District of Columbia,District of Columbia
NA,23,54,104,NA,0,NA,NA,NA,NA,NA,2020-03-20,District of Columbia,District of Columbia
573,20,51,100,401,1,NA,NA,NA,NA,NA,2020-03-19,District of Columbia,District of Columbia
203,14,25,90,63,11,NA,NA,NA,NA,NA,2020-03-18,District of Columbia,District of Columbia
170,11,20,75,63,1,NA,NA,NA,NA,NA,2020-03-17,District of Columbia,District of Columbia
126,10,12,70,34,0,NA,NA,NA,NA,NA,2020-03-16,District of Columbia,District of Columbia
120,10,7,65,31,7,NA,NA,NA,NA,NA,2020-03-15,District of Columbia,District of Columbia
115,9,7,49,30,20,NA,NA,NA,NA,NA,2020-03-14,District of Columbia,District of Columbia
69,8,2,49,NA,10,NA,NA,NA,NA,NA,2020-03-13,District of Columbia,District of Columbia
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2020-03-11,District of Columbia,District of Columbia
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2020-03-09,District of Columbia,District of Columbia
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-03-07,District of Columbia,District of Columbia
