Age_Range,Cases,Unknown,Female,Male,Date,State
All,757,NA,351,406,2020-04-02,District of Columbia
0-18,18,NA,6,12,2020-04-02,District of Columbia
19-30,158,NA,77,81,2020-04-02,District of Columbia
31-40,187,NA,78,109,2020-04-02,District of Columbia
41-50,130,NA,60,70,2020-04-02,District of Columbia
51-60,112,NA,50,62,2020-04-02,District of Columbia
61-70,95,NA,46,49,2020-04-02,District of Columbia
71-80,43,NA,25,18,2020-04-02,District of Columbia
81+,14,NA,9,5,2020-04-02,District of Columbia
All,653,NA,303,350,2020-04-01,District of Columbia
0-18,17,NA,6,11,2020-04-01,District of Columbia
19-30,142,NA,70,72,2020-04-01,District of Columbia
31-40,167,NA,70,97,2020-04-01,District of Columbia
41-50,103,NA,47,56,2020-04-01,District of Columbia
51-60,98,NA,45,53,2020-04-01,District of Columbia
61-70,83,NA,41,42,2020-04-01,District of Columbia
71-80,34,NA,18,16,2020-04-01,District of Columbia
81+,9,NA,6,3,2020-04-01,District of Columbia
All,586,3,272,311,2020-03-31,District of Columbia
0-18,17,0,6,11,2020-03-31,District of Columbia
19-30,124,1,63,60,2020-03-31,District of Columbia
31-40,155,1,67,87,2020-03-31,District of Columbia
41-50,92,1,41,50,2020-03-31,District of Columbia
51-60,86,0,38,48,2020-03-31,District of Columbia
61-70,72,0,35,37,2020-03-31,District of Columbia
71-80,32,0,16,16,2020-03-31,District of Columbia
81+,8,0,6,2,2020-03-31,District of Columbia
