Sex,Cases,Date,State
Unknown,4,2020-04-04,District of Columbia
Male,513,2020-04-04,District of Columbia
Female,481,2020-04-04,District of Columbia
Unknown,2,2020-04-03,District of Columbia
Male,467,2020-04-03,District of Columbia
Female,433,2020-04-03,District of Columbia
Unknown,NA,2020-04-02,District of Columbia
Male,406,2020-04-02,District of Columbia
Female,351,2020-04-02,District of Columbia
Unknown,NA,2020-04-01,District of Columbia
Male,350,2020-04-01,District of Columbia
Female,303,2020-04-01,District of Columbia
Unknown,3,2020-03-31,District of Columbia
Male,311,2020-03-31,District of Columbia
Female,272,2020-03-31,District of Columbia
