County,Cases,Date,State,Abbr,FIPS
District of Columbia,495,2020-03-30,District of Columbia,DC,11001
District of Columbia,401,2020-03-29,District of Columbia,DC,11001
District of Columbia,342,2020-03-28,District of Columbia,DC,11001
District of Columbia,304,2020-03-27,District of Columbia,DC,11001
District of Columbia,267,2020-03-26,District of Columbia,DC,11001
District of Columbia,231,2020-03-25,District of Columbia,DC,11001
District of Columbia,183,2020-03-24,District of Columbia,DC,11001
District of Columbia,137,2020-03-23,District of Columbia,DC,11001
District of Columbia,116,2020-03-22,District of Columbia,DC,11001
District of Columbia,98,2020-03-21,District of Columbia,DC,11001
District of Columbia,77,2020-03-20,District of Columbia,DC,11001
District of Columbia,71,2020-03-19,District of Columbia,DC,11001
District of Columbia,39,2020-03-18,District of Columbia,DC,11001
District of Columbia,31,2020-03-17,District of Columbia,DC,11001
District of Columbia,22,2020-03-16,District of Columbia,DC,11001
District of Columbia,17,2020-03-15,District of Columbia,DC,11001
District of Columbia,16,2020-03-14,District of Columbia,DC,11001
District of Columbia,10,2020-03-13,District of Columbia,DC,11001
District of Columbia,10,2020-03-11,District of Columbia,DC,11001
District of Columbia,4,2020-03-09,District of Columbia,DC,11001
District of Columbia,2,2020-03-07,District of Columbia,DC,11001
